Feature_Set,Motif,N_Features,N,Mean_Impact,Std_Impact,SE_Impact
Cascade,Cascade,28,121,-7.705753010575502e-05,0.000672369518636117,6.112450169419246e-05
Cascade,Feedforward Loop,28,170,-0.00020912486716317944,0.0018690389661500206,0.00014334874498285512
Cascade,Single Input Module,28,103,-3.8467237209265435e-06,2.7263167151450894e-05,2.686319680981158e-06
Cascade,Feedback Loop,28,106,-5.1348461756081725e-05,0.0004617925483450647,4.485325735494948e-05
Feedback Loop,Cascade,34,121,-7.428120253692429e-05,0.00064733736443936,5.884885131266909e-05
Feedback Loop,Feedforward Loop,34,170,-0.00019984708698316133,0.0018782917740670793,0.0001440584029549465
Feedback Loop,Single Input Module,34,103,-3.8467237209265435e-06,2.7263167151450894e-05,2.686319680981158e-06
Feedback Loop,Feedback Loop,34,106,7.450963032450447e-05,0.0008728635190666512,8.477999958368486e-05
Feedforward Loop,Cascade,29,121,-6.746802095082063e-05,0.0006444713936848925,5.858830851680841e-05
Feedforward Loop,Feedforward Loop,29,170,-0.00021029464006652984,0.0018652313374242322,0.0001430567131905342
Feedforward Loop,Single Input Module,29,103,-3.8467237209265435e-06,2.7263167151450894e-05,2.686319680981158e-06
Feedforward Loop,Feedback Loop,29,106,-3.3789485034780756e-05,0.0004283988816588332,4.160977772048874e-05
Single Input Module,Cascade,13,121,-1.774392145835786e-05,0.00012951435088416431,1.1774031898560392e-05
Single Input Module,Feedforward Loop,13,170,-0.00010803794829177954,0.001114544389894816,8.548165255655768e-05
Single Input Module,Single Input Module,13,103,5.972076905891299e-08,3.535953113485074e-07,3.484078128933033e-08
Single Input Module,Feedback Loop,13,106,0.00018165768359232578,0.0007718555309015631,7.496923649469486e-05
