trial,n_features,motif,mean_impact,median_impact,std_impact
0,17,Cascade,1.9921063104745384e-07,4.936009645462036e-08,7.429008542068877e-06
0,17,Feedforward Loop,-3.142671148730954e-08,0.0,1.354874221502422e-05
0,17,Feedback Loop,8.150074993156725e-07,-6.05359673500061e-08,8.424471007626745e-06
0,17,Single Input Module,-7.070302672218531e-07,-8.356291800737381e-07,3.0215133420417525e-06
1,17,Cascade,4.594751611384592e-06,7.757553248666227e-07,5.210018029694015e-05
1,17,Feedforward Loop,-2.0403756734309082e-06,-6.12577423453331e-07,7.047791741951404e-05
1,17,Feedback Loop,4.674535443039681e-06,3.5015109460800886e-06,5.543397634231372e-05
1,17,Single Input Module,-2.7577679087270932e-06,-7.513910531997681e-06,2.9764023189582404e-05
2,17,Cascade,7.407088646493075e-09,0.0,1.1504843531441768e-06
2,17,Feedforward Loop,1.7382559205407987e-08,0.0,1.819662042678241e-06
2,17,Feedback Loop,-4.005732652903707e-07,0.0,1.2656485070236205e-06
2,17,Single Input Module,-1.2585523483507773e-07,0.0,9.184602883093301e-07
3,17,Cascade,0.0,0.0,0.0
3,17,Feedforward Loop,1.3959973867850829e-07,0.0,4.784755136818489e-06
3,17,Feedback Loop,0.0,0.0,0.0
3,17,Single Input Module,0.0,0.0,0.0
4,17,Cascade,4.050666585192464e-06,1.5310943126678469e-06,3.418281249538035e-05
4,17,Feedforward Loop,-1.712450904623397e-06,-3.3190008252859116e-07,4.629417548774949e-05
4,17,Feedback Loop,1.6041977451769285e-06,2.9243528842926025e-06,3.31729883425703e-05
4,17,Single Input Module,1.6975519589751082e-06,-1.3457756722345948e-06,2.5977064876973797e-05
5,17,Cascade,4.173668495667756e-06,1.04482751339674e-06,5.2210336712850476e-05
5,17,Feedforward Loop,-1.8229710977041944e-06,-6.274785846471786e-07,7.296998422859692e-05
5,17,Feedback Loop,4.069673768412917e-06,2.153712557628751e-06,5.580012592439333e-05
5,17,Single Input Module,-2.007406103931477e-06,-8.556991815567017e-06,2.9601791699708727e-05
6,17,Cascade,0.0,0.0,0.0
6,17,Feedforward Loop,-3.2582260778895737e-07,0.0,5.88216795473188e-06
6,17,Feedback Loop,0.0,0.0,0.0
6,17,Single Input Module,0.0,0.0,0.0
7,17,Cascade,0.0,0.0,0.0
7,17,Feedforward Loop,0.0,0.0,0.0
7,17,Feedback Loop,0.0,0.0,0.0
7,17,Single Input Module,0.0,0.0,0.0
8,17,Cascade,0.0,0.0,0.0
8,17,Feedforward Loop,0.0,0.0,0.0
8,17,Feedback Loop,0.0,0.0,0.0
8,17,Single Input Module,0.0,0.0,0.0
9,17,Cascade,0.0,0.0,0.0
9,17,Feedforward Loop,0.0,0.0,0.0
9,17,Feedback Loop,0.0,0.0,0.0
9,17,Single Input Module,0.0,0.0,0.0
10,17,Cascade,-4.626548680871534e-06,0.0,5.9217129423230785e-05
10,17,Feedforward Loop,2.103590654153622e-06,5.951151251792908e-07,6.576421452990539e-05
10,17,Feedback Loop,1.34519542808813e-05,-9.313225746154784e-09,5.940744664374965e-05
10,17,Single Input Module,-9.934664215988424e-06,-1.216423697769642e-05,4.8918056231109275e-05
11,17,Cascade,0.0,0.0,0.0
11,17,Feedforward Loop,0.0,0.0,0.0
11,17,Feedback Loop,0.0,0.0,0.0
11,17,Single Input Module,0.0,0.0,0.0
12,17,Cascade,0.0,0.0,0.0
12,17,Feedforward Loop,0.0,0.0,0.0
12,17,Feedback Loop,0.0,0.0,0.0
12,17,Single Input Module,0.0,0.0,0.0
13,17,Cascade,0.0,0.0,0.0
13,17,Feedforward Loop,0.0,0.0,0.0
13,17,Feedback Loop,0.0,0.0,0.0
13,17,Single Input Module,0.0,0.0,0.0
14,17,Cascade,-2.549581066374248e-07,0.0,5.652168701636085e-06
14,17,Feedforward Loop,-3.0911057732101974e-07,0.0,9.543208802942989e-06
14,17,Feedback Loop,0.0,0.0,0.0
14,17,Single Input Module,0.0,0.0,0.0
15,17,Cascade,-1.6622771086220244e-08,0.0,2.3387289879419857e-05
15,17,Feedforward Loop,3.9836772752994897e-07,0.0,2.975243323023543e-05
15,17,Feedback Loop,-2.7412919465590406e-06,-2.379529178142548e-06,2.5602661549995696e-05
15,17,Single Input Module,3.6294248489224734e-06,0.0,6.7290291136665195e-06
16,17,Cascade,4.594751611384592e-06,7.757553248666227e-07,5.210018029694015e-05
16,17,Feedforward Loop,-2.0403756734309082e-06,-6.12577423453331e-07,7.047791741951404e-05
16,17,Feedback Loop,4.674535443039681e-06,3.5015109460800886e-06,5.543397634231372e-05
16,17,Single Input Module,-2.7577679087270932e-06,-7.513910531997681e-06,2.9764023189582404e-05
17,17,Cascade,-4.370485732139519e-06,0.0,5.89991960043417e-05
17,17,Feedforward Loop,2.41326734921546e-06,7.936032488942146e-07,6.522145305825983e-05
17,17,Feedback Loop,1.34519542808813e-05,-9.313225746154784e-09,5.940744664374965e-05
17,17,Single Input Module,-9.934664215988424e-06,-1.216423697769642e-05,4.8918056231109275e-05
18,17,Cascade,0.0,0.0,0.0
18,17,Feedforward Loop,-3.2582260778895737e-07,0.0,5.88216795473188e-06
18,17,Feedback Loop,0.0,0.0,0.0
18,17,Single Input Module,0.0,0.0,0.0
19,17,Cascade,0.0,0.0,0.0
19,17,Feedforward Loop,0.0,0.0,0.0
19,17,Feedback Loop,0.0,0.0,0.0
19,17,Single Input Module,0.0,0.0,0.0
20,17,Cascade,-9.252441543124007e-09,0.0,2.336028602920316e-05
20,17,Feedforward Loop,4.1576521998819643e-07,-2.264278009533882e-08,2.9858871090787353e-05
20,17,Feedback Loop,-3.1414987191695858e-06,-1.8831342458724976e-06,2.588153487579123e-05
20,17,Single Input Module,3.5038075807011305e-06,4.7424691729247577e-08,7.0714033514797465e-06
21,17,Cascade,-4.214910204265379e-06,-7.208436727523804e-07,5.8731269133693966e-05
21,17,Feedforward Loop,2.619605548604212e-06,1.8961727619171143e-06,6.755006844874735e-05
21,17,Feedback Loop,1.1506059241512567e-05,3.5213306546211243e-06,5.9872895456568635e-05
21,17,Single Input Module,-7.030039662769174e-06,-8.079223334789276e-06,4.743910164688189e-05
22,17,Cascade,1.9921063104745384e-07,4.936009645462036e-08,7.429008542068877e-06
22,17,Feedforward Loop,-1.7136162660019803e-07,0.0,1.0263819741298745e-05
22,17,Feedback Loop,8.150074993156725e-07,-6.05359673500061e-08,8.424471007626745e-06
22,17,Single Input Module,-7.070302672218531e-07,-8.356291800737381e-07,3.0215133420417525e-06
23,17,Cascade,1.9921063104745384e-07,4.936009645462036e-08,7.429008542068877e-06
23,17,Feedforward Loop,-1.7136162660019803e-07,0.0,1.0263819741298745e-05
23,17,Feedback Loop,8.150074993156725e-07,-6.05359673500061e-08,8.424471007626745e-06
23,17,Single Input Module,-7.070302672218531e-07,-8.356291800737381e-07,3.0215133420417525e-06
24,17,Cascade,0.0,0.0,0.0
24,17,Feedforward Loop,0.0,0.0,0.0
24,17,Feedback Loop,0.0,0.0,0.0
24,17,Single Input Module,0.0,0.0,0.0
25,17,Cascade,-2.549581066374248e-07,0.0,5.652168701636085e-06
25,17,Feedforward Loop,-6.349331851099771e-07,0.0,1.1201384962218354e-05
25,17,Feedback Loop,0.0,0.0,0.0
25,17,Single Input Module,0.0,0.0,0.0
26,17,Cascade,-2.549581066374248e-07,0.0,5.652168701636085e-06
26,17,Feedforward Loop,-3.0911057732101974e-07,0.0,9.543208802942989e-06
26,17,Feedback Loop,0.0,0.0,0.0
26,17,Single Input Module,0.0,0.0,0.0
27,17,Cascade,1.9921063104745384e-07,4.936009645462036e-08,7.429008542068877e-06
27,17,Feedforward Loop,-4.964194146677228e-07,0.0,1.2042144222026222e-05
27,17,Feedback Loop,8.150074993156725e-07,-6.05359673500061e-08,8.424471007626745e-06
27,17,Single Input Module,-7.070302672218531e-07,-8.356291800737381e-07,3.0215133420417525e-06
28,17,Cascade,-2.549581066374248e-07,0.0,5.652168701636085e-06
28,17,Feedforward Loop,-3.0911057732101974e-07,0.0,9.543208802942989e-06
28,17,Feedback Loop,0.0,0.0,0.0
28,17,Single Input Module,0.0,0.0,0.0
