Ablated_Feature_Set,Affected_Motif,N,Mean_Impact,Std_Impact,Median_Impact,SE_Impact
Feedback Loop,Cascade,126,-1.7898167536783915e-05,0.00010854208343763006,-5.612673703581096e-08,9.669697339767667e-06
Feedback Loop,Feedforward Loop,121,1.018967718105783e-05,0.00010582473878770463,1.5133991837501526e-09,9.620430798882239e-06
Feedback Loop,Single Input Module,140,-7.079293669302014e-05,0.0004494668723204328,-3.6889105103909976e-08,3.7986883950113266e-05
Feedback Loop,Feedback Loop,113,0.00015749003494846514,0.0007998739381974606,-7.6070427894592285e-06,7.524581057385229e-05
Single Input Module,Cascade,126,-5.987786798573426e-06,0.00024295212985336103,0.0,2.164389598329262e-05
Single Input Module,Feedforward Loop,121,7.576127264703508e-05,0.0004454048431061623,2.341228537261486e-06,4.0491349373287485e-05
Single Input Module,Single Input Module,140,-5.163621812655534e-05,0.0004307770006927964,-1.060659997165203e-06,3.64073014974706e-05
Single Input Module,Feedback Loop,113,7.311449237250429e-05,0.00019513635729419008,1.7083249986171722e-05,1.835688434870024e-05
Random Control,Cascade,126,-3.130919946754952e-06,0.00014693108416590324,0.0,1.3089661343239418e-05
Random Control,Feedforward Loop,121,-3.84687670878491e-05,0.00045094325330437935,0.0,4.099484120948903e-05
Random Control,Single Input Module,140,8.204136501773809e-05,0.000810124152558317,-3.725290298461914e-07,6.846798743929954e-05
Random Control,Feedback Loop,113,-4.223229542902602e-05,6.31446289352353e-05,-2.852478064596653e-05,5.940147016571458e-06
