graph_id,Motif,Loss (Original),Loss (Full SAE),Loss (Ablated),SAE Degradation,Ablation Impact,Ablated_Feature_Set
4367,Cascade,0.0064676809124648,0.0064653358422219,0.0064026019535958,-2.345070242881775e-06,-6.273388862609863e-05,Feedback Loop
4185,Feedforward Loop,,,,,,Feedback Loop
4460,Single Input Module,0.0099640237167477,0.0099608534947037,0.0097602102905511,-3.170222043991089e-06,-0.0002006432041525,Feedback Loop
4416,Single Input Module,0.0030025644227862,0.0030453314539045,0.0029982198029756,4.2767031118273735e-05,-4.711165092885494e-05,Feedback Loop
3778,Cascade,0.0054705888032913,0.0054705888032913,0.0054705888032913,0.0,0.0,Feedback Loop
4808,Feedforward Loop,,,,,,Feedback Loop
2648,Single Input Module,0.0030895862728357,0.0030895732343196,0.0030895788222551,-1.30385160446167e-08,5.587935447692871e-09,Feedback Loop
4371,Cascade,0.0173285137861967,0.0173915121704339,0.0178727451711893,6.299838423728943e-05,0.0004812330007553,Feedback Loop
2534,Single Input Module,0.0034678147640079,0.0034678431693464,0.0034706573933362,2.840533852577209e-08,2.814223989844322e-06,Feedback Loop
2383,Single Input Module,3.807271423283965e-05,3.805343294516206e-05,3.806172389886342e-05,-1.9281287677586082e-08,8.290953701362014e-09,Feedback Loop
2882,Single Input Module,0.0002497030654922,0.000249737931881,0.0002530503261368,3.4866388887166984e-08,3.312394255772233e-06,Feedback Loop
2616,Single Input Module,0.0001161120599135,0.0001164392451755,0.000116296680062,3.271852619946003e-07,-1.4256511349231005e-07,Feedback Loop
375,Feedforward Loop,0.0103836497291922,0.0103835156187415,0.0103835761547088,-1.341104507446289e-07,6.05359673500061e-08,Feedback Loop
764,Feedforward Loop,0.000547353294678,0.0005472134798765,0.0005472743068821,-1.398148015141487e-07,6.082700565457344e-08,Feedback Loop
2769,Single Input Module,0.0003376681124791,0.0003376681124791,0.0003376681124791,0.0,0.0,Feedback Loop
485,Feedforward Loop,,,,,,Feedback Loop
2046,Single Input Module,0.0105906557291746,0.0105904806405305,0.0105905570089817,-1.7508864402771e-07,7.636845111846925e-08,Feedback Loop
3368,Cascade,0.003682990791276,0.0036840096581727,0.0036842036060988,1.0188668966293335e-06,1.939479261636734e-07,Feedback Loop
4991,Single Input Module,0.0163744688034057,0.0165158174932003,0.0162404179573059,0.0001413486897945,-0.0002753995358943,Feedback Loop
4307,Feedforward Loop,0.0158708374947309,0.0160289779305458,0.0166243910789489,0.0001581404358148,0.0005954131484031,Feedback Loop
3558,Cascade,0.0011077118106186,0.0011076800292357,0.0011075931834056,-3.1781382858753204e-08,-8.684583008289337e-08,Feedback Loop
3142,Cascade,0.0072548179887235,0.0072527360171079,0.007253750693053,-2.0819716155529022e-06,1.0146759450435638e-06,Feedback Loop
3606,Cascade,0.0032645254395902,0.0032656746916472,0.0032662022858858,1.1492520570755005e-06,5.275942385196686e-07,Feedback Loop
4913,Cascade,0.0324633531272411,0.0323472954332828,0.0320913270115852,-0.0001160576939582,-0.0002559684216976,Feedback Loop
2529,Single Input Module,0.0001795495918486,0.0001799129677237,0.0001797548902686,3.6337587516754876e-07,-1.580774551257491e-07,Feedback Loop
1508,Feedback Loop,0.0032436766196042,0.0032542773988097,0.0032638141419738,1.0600779205560684e-05,9.5367431640625e-06,Feedback Loop
1056,Feedback Loop,0.004822514951229,0.0048547135666012,0.0046929703094065,3.219861537218094e-05,-0.0001617432571947,Feedback Loop
3232,Cascade,0.0028683454729616,0.0028665387071669,0.0028670639730989,-1.8067657947540283e-06,5.252659320831299e-07,Feedback Loop
3863,Cascade,0.0006733356276527,0.0006731887115165,0.0006722516845911,-1.4691613614559176e-07,-9.370269253849984e-07,Feedback Loop
888,Feedforward Loop,4.584380076266825e-05,4.591719698510133e-05,4.5608940126840025e-05,7.339622243307532e-08,-3.082568582613021e-07,Feedback Loop
1626,Feedback Loop,0.003717080457136,0.0037171293515712,0.0061585833318531,4.889443516731262e-08,0.0024414539802819,Feedback Loop
1735,Feedback Loop,0.0081296656280756,0.0081226779147982,0.0081216534599661,-6.987713277339935e-06,-1.0244548320770264e-06,Feedback Loop
867,Feedforward Loop,8.503880235366523e-05,8.538368274457753e-05,8.502197306370363e-05,3.448803909122944e-07,-3.6170968087390076e-07,Feedback Loop
2853,Single Input Module,4.192024061921984e-05,4.232876017340459e-05,4.2150950321229175e-05,4.085195541847497e-07,-1.7780985217541456e-07,Feedback Loop
3545,Cascade,0.0043051191605627,0.0043052909895777,0.004305200651288,1.718290150165558e-07,-9.033828973770143e-08,Feedback Loop
4722,Single Input Module,0.0075345025397837,0.0073410631157457,0.0070672817528247,-0.0001934394240379,-0.0002737813629209,Feedback Loop
3900,Cascade,0.00122926896438,0.0012285944540053,0.0012311382452026,-6.745103746652603e-07,2.5437911972403526e-06,Feedback Loop
