trial,n_features,motif,mean_impact,median_impact,std_impact
0,39,Cascade,-1.3510758963677883e-05,0.0,6.74994175335766e-05
0,39,Feedforward Loop,2.693918615571152e-06,0.0,7.948209106010073e-05
0,39,Single Input Module,-4.005191362091125e-05,-6.782092896173708e-07,0.00022702644481257186
0,39,Feedback Loop,-2.527633222524491e-05,-9.443145245313644e-06,4.228709894362607e-05
1,39,Cascade,-5.956578192010138e-06,0.0,8.85874833296316e-05
1,39,Feedforward Loop,3.653434021288291e-05,0.0,0.00028360907878570527
1,39,Single Input Module,-4.4006511104209206e-05,-3.7431891541928053e-07,0.00031486010341563817
1,39,Feedback Loop,9.997720832237757e-06,0.0,4.8291406995034777e-05
2,39,Cascade,6.5030776128102685e-06,0.0,0.00023530683207099589
2,39,Feedforward Loop,-4.707018066303536e-05,-1.0864459909498692e-07,0.00033265824842622685
2,39,Single Input Module,7.855551681187504e-06,3.427267074584961e-07,0.0002223463385075791
2,39,Feedback Loop,-6.556601370033891e-05,-2.1175947040319443e-05,0.0001368334710380924
3,39,Cascade,2.5354805573788764e-06,0.0,2.4238927056577952e-05
3,39,Feedforward Loop,1.3305021926295775e-06,0.0,2.1291357873065153e-05
3,39,Single Input Module,-2.411755403490115e-06,0.0,4.38839169535658e-05
3,39,Feedback Loop,2.423116752693245e-08,0.0,3.4524934564758275e-06
4,39,Cascade,6.782052761051049e-06,0.0,6.798934896605076e-05
4,39,Feedforward Loop,-1.1258647997206198e-05,0.0,0.00017014839514295716
4,39,Single Input Module,5.582234368448506e-05,0.0,0.00046142407216022554
4,39,Feedback Loop,5.83628525009362e-06,0.0,1.6778382175401522e-05
5,39,Cascade,-5.134508829805232e-06,0.0,0.0001118574602407978
5,39,Feedforward Loop,-5.011078332915211e-05,0.0,0.0004498150940037426
5,39,Single Input Module,-3.0213120830216977e-06,0.0,8.9150828451688e-05
5,39,Feedback Loop,-7.357402192848181e-06,0.0,6.746620460446927e-05
6,39,Cascade,-1.371910972128443e-05,0.0,6.95121185282645e-05
6,39,Feedforward Loop,-1.5260408888516753e-06,0.0,6.16420308196683e-05
6,39,Single Input Module,-2.2242823314272496e-05,-5.43834175914526e-07,0.00011724513443596855
6,39,Feedback Loop,-3.176565630243288e-05,-8.831731975078583e-06,5.203869743006579e-05
7,39,Cascade,1.3344141470510983e-07,0.0,0.00016020396651620652
7,39,Feedforward Loop,3.6830338343099834e-06,0.0,4.396732925020851e-05
7,39,Single Input Module,-4.149229269148445e-05,0.0,0.00045476875805036606
7,39,Feedback Loop,-2.878617919008206e-06,0.0,1.159249092167524e-05
8,39,Cascade,1.010553736587862e-05,0.0,0.00022344089965417303
8,39,Feedforward Loop,8.974548252712794e-05,0.0,0.0006884879391945555
8,39,Single Input Module,1.2274398162525414e-05,0.0,0.00015503571426682479
8,39,Feedback Loop,1.9667550569045046e-05,0.0,8.064489055767273e-05
9,39,Cascade,1.218553109450408e-05,0.0,0.00024061473608212266
9,39,Feedforward Loop,-5.75093835614225e-05,0.0,0.0004220156631507089
9,39,Single Input Module,3.561377960492774e-05,6.51925802230835e-07,0.0004194748452786828
9,39,Feedback Loop,-4.628266410813301e-05,-1.414213329553604e-06,0.00013820430982316122
10,39,Cascade,1.1402557814313232e-05,0.0,9.277439828921754e-05
10,39,Feedforward Loop,-1.4098824179024727e-05,0.0,0.00019874491349592137
10,39,Single Input Module,4.4657004339427224e-05,0.0,0.0003732941652667789
10,39,Feedback Loop,1.1639896075467806e-06,0.0,7.63840124640841e-06
11,39,Cascade,-1.6388823437845711e-06,0.0,1.4895477712260405e-05
11,39,Feedforward Loop,1.7843520158509675e-07,0.0,5.463910489041825e-06
11,39,Single Input Module,-5.4978193667625425e-06,0.0,4.255354512432406e-05
11,39,Feedback Loop,-1.968147321226629e-06,0.0,7.920224317486475e-06
12,39,Cascade,3.401438305216229e-07,0.0,9.186301835120884e-05
12,39,Feedforward Loop,-6.563408070385352e-06,0.0,0.0001238080052534026
12,39,Single Input Module,9.449438942012515e-06,-4.6193599700927734e-07,0.00026158445022145157
12,39,Feedback Loop,-3.102131666161866e-05,-9.673181921243668e-06,5.239968420799421e-05
13,39,Cascade,1.1215198341114725e-05,0.0,8.892887853433968e-05
13,39,Feedforward Loop,2.0520752897072815e-05,0.0,0.00016530549382495378
13,39,Single Input Module,4.2815705787653055e-05,-1.1175870895385742e-08,0.0003784033089345369
13,39,Feedback Loop,1.937839326339381e-05,2.896413207054138e-06,4.12341318971328e-05
14,39,Cascade,-9.785120940730274e-06,0.0,8.977850486882335e-05
14,39,Feedforward Loop,-1.4036043706396318e-05,0.0,0.00010692087961600562
14,39,Single Input Module,-3.679839037630382e-05,0.0,0.00027097691720292177
14,39,Feedback Loop,-1.935671903780111e-05,-6.807968020439148e-07,3.914005196315738e-05
15,39,Cascade,-2.423039714197027e-05,0.0,0.0002995579517303745
15,39,Feedforward Loop,0.00010414346052369292,0.0,0.0009480632425103616
15,39,Single Input Module,-0.00015753808289100296,0.0,0.0013304793829313668
15,39,Feedback Loop,-4.135715845459324e-05,-4.581641405820847e-06,0.00012653323913889387
16,39,Cascade,2.678712095778487e-06,0.0,2.8045935581265624e-05
16,39,Feedforward Loop,1.1370925532996105e-05,0.0,9.679141693699308e-05
16,39,Single Input Module,1.1887160864023679e-05,0.0,8.299330322989312e-05
16,39,Feedback Loop,1.787886061278551e-06,0.0,2.130529667928754e-05
17,39,Cascade,7.883358135116263e-06,0.0,6.383725570142671e-05
17,39,Feedforward Loop,-8.932239755889414e-06,0.0,0.0001345495057457246
17,39,Single Input Module,4.4360551235338126e-05,0.0,0.00037330030017834764
17,39,Feedback Loop,1.263183852036794e-06,0.0,7.6103032925150455e-06
18,39,Cascade,-1.3518370260788895e-05,0.0,7.985273543653455e-05
18,39,Feedforward Loop,3.1188309325792e-05,0.0,0.00023588307029264108
18,39,Single Input Module,-4.187956472670284e-05,-9.217474143952132e-07,0.00023901300521729293
18,39,Feedback Loop,-6.740208797006439e-06,0.0,6.117333952748533e-05
19,39,Cascade,-1.5731303069667495e-06,0.0,0.00016438630554105687
19,39,Feedforward Loop,6.004275539388953e-06,0.0,5.1951654963146894e-05
19,39,Single Input Module,-4.320301627060344e-05,0.0,0.0004543343632821828
19,39,Feedback Loop,-5.474287873921898e-06,0.0,2.2164687488407955e-05
