graph_id,Motif,Loss (Original),Loss (Full SAE),Loss (Ablated),SAE Degradation,Ablation Impact
4367,Cascade,0.006467680912464857,0.006465335842221975,0.006402601953595877,-2.345070242881775e-06,-6.273388862609863e-05
4185,Feedforward Loop,,,,,
4460,Single Input Module,0.00996402371674776,0.00996085349470377,0.009760210290551186,-3.170222043991089e-06,-0.00020064320415258408
4416,Single Input Module,0.003002564422786236,0.0030453314539045095,0.0029982198029756546,4.2767031118273735e-05,-4.711165092885494e-05
3778,Cascade,0.005470588803291321,0.005470588803291321,0.005470588803291321,0.0,0.0
4808,Feedforward Loop,,,,,
2648,Single Input Module,0.0030895862728357315,0.003089573234319687,0.0030895788222551346,-1.30385160446167e-08,5.587935447692871e-09
4371,Cascade,0.01732851378619671,0.017391512170433998,0.017872745171189308,6.299838423728943e-05,0.00048123300075531006
2534,Single Input Module,0.003467814764007926,0.0034678431693464518,0.003470657393336296,2.8405338525772095e-08,2.814223989844322e-06
2383,Single Input Module,3.8072714232839644e-05,3.805343294516206e-05,3.806172389886342e-05,-1.928128767758608e-08,8.290953701362014e-09
2882,Single Input Module,0.00024970306549221277,0.00024973793188109994,0.00025305032613687217,3.486638888716698e-08,3.312394255772233e-06
2616,Single Input Module,0.00011611205991357565,0.00011643924517557025,0.00011629668006207794,3.271852619946003e-07,-1.4256511349231005e-07
375,Feedforward Loop,0.010383649729192257,0.010383515618741512,0.010383576154708862,-1.341104507446289e-07,6.05359673500061e-08
764,Feedforward Loop,0.0005473532946780324,0.0005472134798765182,0.0005472743068821728,-1.398148015141487e-07,6.082700565457344e-08
2769,Single Input Module,0.0003376681124791503,0.0003376681124791503,0.0003376681124791503,0.0,0.0
485,Feedforward Loop,,,,,
2046,Single Input Module,0.010590655729174614,0.010590480640530586,0.010590557008981705,-1.7508864402770996e-07,7.636845111846924e-08
3368,Cascade,0.0036829907912760973,0.0036840096581727266,0.0036842036060988903,1.0188668966293335e-06,1.939479261636734e-07
4991,Single Input Module,0.01637446880340576,0.016515817493200302,0.016240417957305908,0.0001413486897945404,-0.0002753995358943939
4307,Feedforward Loop,0.01587083749473095,0.016028977930545807,0.016624391078948975,0.00015814043581485748,0.0005954131484031677
3558,Cascade,0.001107711810618639,0.0011076800292357802,0.0011075931834056973,-3.1781382858753204e-08,-8.684583008289337e-08
3142,Cascade,0.0072548179887235165,0.0072527360171079636,0.007253750693053007,-2.0819716155529022e-06,1.0146759450435638e-06
3606,Cascade,0.0032645254395902157,0.003265674691647291,0.003266202285885811,1.1492520570755005e-06,5.275942385196686e-07
4913,Cascade,0.032463353127241135,0.03234729543328285,0.032091327011585236,-0.00011605769395828247,-0.0002559684216976166
2529,Single Input Module,0.00017954959184862673,0.00017991296772379428,0.00017975489026866853,3.6337587516754866e-07,-1.580774551257491e-07
1508,Feedback Loop,0.00324367661960423,0.0032542773988097906,0.003263814141973853,1.0600779205560684e-05,9.5367431640625e-06
1056,Feedback Loop,0.0048225149512290955,0.004854713566601276,0.004692970309406519,3.219861537218094e-05,-0.00016174325719475746
3232,Cascade,0.002868345472961664,0.00286653870716691,0.0028670639730989933,-1.8067657947540283e-06,5.252659320831299e-07
3863,Cascade,0.0006733356276527047,0.0006731887115165591,0.0006722516845911741,-1.4691613614559174e-07,-9.370269253849983e-07
888,Feedforward Loop,4.584380076266825e-05,4.591719698510133e-05,4.5608940126840025e-05,7.339622243307531e-08,-3.082568582613021e-07
1626,Feedback Loop,0.003717080457136035,0.0037171293515712023,0.006158583331853151,4.889443516731262e-08,0.002441453980281949
1735,Feedback Loop,0.0081296656280756,0.00812267791479826,0.008121653459966183,-6.987713277339935e-06,-1.0244548320770264e-06
867,Feedforward Loop,8.503880235366523e-05,8.538368274457753e-05,8.502197306370363e-05,3.448803909122944e-07,-3.6170968087390065e-07
2853,Single Input Module,4.192024061921984e-05,4.232876017340459e-05,4.2150950321229175e-05,4.085195541847497e-07,-1.7780985217541456e-07
3545,Cascade,0.004305119160562754,0.00430529098957777,0.0043052006512880325,1.7182901501655579e-07,-9.033828973770142e-08
4722,Single Input Module,0.007534502539783716,0.007341063115745783,0.007067281752824783,-0.00019343942403793335,-0.0002737813629209995
3900,Cascade,0.0012292689643800259,0.0012285944540053606,0.001231138245202601,-6.745103746652603e-07,2.5437911972403526e-06
4210,Single Input Module,0.02037925273180008,0.020318008959293365,0.020155608654022217,-6.124377250671387e-05,-0.00016240030527114868
4950,Single Input Module,0.04550718516111374,0.04550718516111374,0.04550718516111374,0.0,0.0
2260,Single Input Module,0.00011833338066935539,0.00011863507825182751,0.00011850420560222119,3.0169758247211576e-07,-1.3087264960631728e-07
49,Feedforward Loop,0.007521227467805147,0.007521387655287981,0.007521317806094885,1.601874828338623e-07,-6.984919309616089e-08
760,Feedforward Loop,0.0080326609313488,0.008032608777284622,0.008027776144444942,-5.21540641784668e-08,-4.832632839679718e-06
4624,Cascade,0.0009046157938428223,0.0009057527640834451,0.0009095309069380164,1.1369702406227589e-06,3.7781428545713425e-06
1630,Feedback Loop,0.015830885618925095,0.015819121152162552,0.015423045493662357,-1.1764466762542725e-05,-0.00039607565850019455
4629,Cascade,0.005424420814961195,0.005407461430877447,0.005394758656620979,-1.6959384083747864e-05,-1.270277425646782e-05
4853,Feedback Loop,0.026070691645145416,0.026032328605651855,0.02601994015276432,-3.836303949356079e-05,-1.2388452887535095e-05
3590,Cascade,0.004893083591014147,0.004893625620752573,0.004898155108094215,5.420297384262085e-07,4.52948734164238e-06
446,Feedforward Loop,0.0008737610769458115,0.0008750497363507748,0.0008741836063563824,1.288659404963255e-06,-8.66129994392395e-07
3414,Cascade,,,,,
