graph_id,Motif,Loss (Original),Loss (Full SAE),Loss (Ablated),SAE Degradation,Ablation Impact
4367,Cascade,0.006783269811421633,0.0062777153216302395,0.006138947326689959,-0.0005055544897913933,-0.00013876799494028091
4185,Cascade,,,,,
4460,Feedforward Loop,0.004189377184957266,0.008808239363133907,0.008806740865111351,0.0046188621781766415,-1.498498022556305e-06
4416,Feedforward Loop,0.003327244194224477,0.003244709223508835,0.003160424530506134,-8.253497071564198e-05,-8.42846930027008e-05
3778,Cascade,0.005776687525212765,0.005776687525212765,0.005776687525212765,0.0,0.0
4808,Cascade,,,,,
2648,Single Input Module,0.003292766399681568,0.003302769735455513,0.0033060137648135424,1.0003335773944855e-05,3.2440293580293655e-06
4371,Feedforward Loop,0.022478558123111725,0.020859649404883385,0.019873512908816338,-0.0016189087182283401,-0.0009861364960670471
2534,Single Input Module,0.0034255890641361475,0.0034161340445280075,0.0034174511674791574,-9.455019608139992e-06,1.3171229511499405e-06
2383,Single Input Module,3.983037095167674e-05,4.073298259754665e-05,4.0991741116158664e-05,9.026116458699107e-07,2.5875851861201227e-07
2882,Single Input Module,0.000176656263647601,0.00015885777247603983,0.00016257085371762514,-1.779849117156118e-05,3.7130812415853143e-06
2616,Single Input Module,5.1593913667602465e-05,4.3092466512462124e-05,4.137184441788122e-05,-8.50144715514034e-06,-1.7206220945809036e-06
375,Feedforward Loop,0.0100700743496418,0.010090930387377739,0.010097980499267578,2.0856037735939026e-05,7.050111889839172e-06
764,Feedforward Loop,0.0005649161757901311,0.0005742752691730857,0.0005769174895249307,9.359093382954597e-06,2.642220351845026e-06
2769,Single Input Module,0.0002829875738825649,0.0002829875738825649,0.0002829875738825649,0.0,0.0
485,Feedforward Loop,,,,,
2046,Single Input Module,0.010160144418478012,0.01017210353165865,0.010175478644669056,1.195911318063736e-05,3.375113010406494e-06
3368,Cascade,0.003820203710347414,0.003802109509706497,0.0037966675590723753,-1.8094200640916824e-05,-5.441950634121895e-06
4991,Feedforward Loop,0.012000864371657372,0.012649629265069962,0.015148621052503586,0.00064876489341259,0.0024989917874336243
4307,Feedforward Loop,0.026713088154792786,0.030178576707839966,0.014596777968108654,0.00346548855304718,-0.015581798739731312
3558,Cascade,0.0009527876973152161,0.0009419159032404423,0.0009400653652846813,-1.0871794074773788e-05,-1.8505379557609558e-06
3142,Cascade,0.00733083114027977,0.007401012349873781,0.007410468999296427,7.01812095940113e-05,9.456649422645569e-06
3606,Cascade,0.0032705930061638355,0.0034086937084794044,0.0034166164696216583,0.00013810070231556892,7.922761142253876e-06
4913,Feedforward Loop,0.03131343424320221,0.028258657082915306,0.02905094251036644,-0.0030547771602869034,0.0007922854274511337
2529,Single Input Module,0.00010227731399936602,9.040324948728085e-05,8.77018173923716e-05,-1.187406451208517e-05,-2.7014320949092507e-06
1508,Feedback Loop,0.004507771227508783,0.004318812396377325,0.0038209259510040283,-0.00018895883113145828,-0.0004978864453732967
1056,Feedback Loop,0.005989560391753912,0.004110865294933319,0.004045214504003525,-0.0018786950968205929,-6.565079092979431e-05
3232,Cascade,0.002985940547659993,0.0030573951080441475,0.0030754776671528816,7.145456038415432e-05,1.808255910873413e-05
3863,Cascade,0.0006087727379053831,0.0005692201084457338,0.0005669138045050204,-3.9552629459649324e-05,-2.3063039407134056e-06
888,Feedforward Loop,3.357193054398522e-05,2.0853909518336877e-05,1.9959166820626706e-05,-1.271802102564834e-05,-8.947426977101713e-07
1626,Feedback Loop,0.005809076130390167,0.006370364222675562,0.0065946816466748714,0.0005612880922853947,0.00022431742399930954
1735,Feedback Loop,0.010245248675346375,0.00999425072222948,0.008916844613850117,-0.00025099795311689377,-0.001077406108379364
867,Feedforward Loop,4.920446372125298e-05,4.805690696230158e-05,5.218599835643545e-05,-1.1475567589513958e-06,4.129091394133866e-06
2853,Single Input Module,2.7668756175103226e-09,5.450610842672177e-06,8.828573299979325e-06,5.447843967054666e-06,3.3779624573071487e-06
3545,Cascade,0.004197567235678434,0.004192165564745665,0.0041915918700397015,-5.401670932769775e-06,-5.736947059631348e-07
4722,Feedforward Loop,0.0042596603743731976,0.003692508675158024,0.004724414087831974,-0.0005671516992151737,0.0010319054126739502
3900,Cascade,0.0011603186139836907,0.0012090865056961775,0.0012003876036033034,4.8767891712486744e-05,-8.69890209287405e-06
4210,Feedforward Loop,0.01935385912656784,0.019725613296031952,0.020468125119805336,0.00037175416946411133,0.0007425118237733841
