graph_id,Motif,Loss (Original),Loss (Full SAE),Loss (Ablated),SAE Degradation,Ablation Impact
3397,Cascade,0.006401923485100269,0.006253519561141729,0.006335013546049595,-0.00014840392395853996,8.149398490786552e-05
944,Feedforward Loop,0.0032855297904461622,0.0034283515997231007,0.0033383206464350224,0.00014282180927693844,-9.003095328807831e-05
1132,Feedback Loop,0.004718108102679253,0.004971689078956842,0.004817265551537275,0.0002535809762775898,-0.0001544235274195671
3776,Cascade,0.0032340914476662874,0.003229041351005435,0.0032342036720365286,-5.050096660852432e-06,5.162321031093597e-06
2201,Single Input Module,0.0005558812408708036,0.0005650598905049264,0.0005576378898695111,9.178649634122849e-06,-7.422000635415316e-06
1682,Feedback Loop,0.002509788842871785,0.0026864088140428066,0.002570431213825941,0.00017661997117102146,-0.00011597760021686554
3552,Cascade,0.00735851563513279,0.007448412477970123,0.007411932572722435,8.989684283733368e-05,-3.6479905247688293e-05
3842,Cascade,0.006516990717500448,0.0063550774939358234,0.006444998551160097,-0.00016191322356462479,8.992105722427368e-05
2374,Single Input Module,0.011918461881577969,0.011926823295652866,0.011920235119760036,8.361414074897766e-06,-6.588175892829895e-06
433,Feedforward Loop,0.0028915507718920708,0.0028582990635186434,0.0028766754548996687,-3.325170837342739e-05,1.8376391381025314e-05
551,Feedforward Loop,0.00652424106374383,0.006633052136749029,0.0065581523813307285,0.00010881107300519943,-7.489975541830063e-05
1366,Feedback Loop,0.0025108749978244305,0.0027962224557995796,0.00281755393370986,0.00028534745797514915,2.1331477910280228e-05
2831,Single Input Module,0.001298317569307983,0.0013013501884415746,0.0012983110500499606,3.032619133591652e-06,-3.0391383916139603e-06
1451,Feedback Loop,0.006577994674444199,0.008842614479362965,0.00982182752341032,0.002264619804918766,0.0009792130440473557
3009,Cascade,0.0022769728675484657,0.0021783309057354927,0.0022509016562253237,-9.864196181297302e-05,7.257075048983097e-05
2899,Single Input Module,0.0005320753552950919,0.000663965882267803,0.0005727653624489903,0.00013189052697271109,-9.120051981881261e-05
2712,Single Input Module,0.01213030144572258,0.01210814155638218,0.012120911851525307,-2.2159889340400696e-05,1.2770295143127441e-05
3307,Cascade,0.004838193766772747,0.00477072736248374,0.00481610931456089,-6.746640428900719e-05,4.5381952077150345e-05
249,Feedforward Loop,0.012251922860741615,0.012185359373688698,0.012230725027620792,-6.656348705291748e-05,4.5365653932094574e-05
3215,Cascade,0.0002018604427576065,0.00018708311836235225,0.0002001118555199355,-1.4777324395254254e-05,1.3028737157583237e-05
2762,Single Input Module,0.003860684111714363,0.0038601767737418413,0.0038588952738791704,-5.073379725217819e-07,-1.2814998626708984e-06
