graph_id,Motif,Loss (Original),Loss (Full SAE),Loss (Ablated),SAE Degradation,Ablation Impact
3397,Cascade,0.006401923485100269,0.0062590427696704865,0.006196362432092428,-0.00014288071542978287,-6.268033757805824e-05
944,Feedforward Loop,0.0032855297904461622,0.0034469470847398043,0.003522520186379552,0.00016141729429364204,7.557310163974762e-05
1132,Feedback Loop,0.004718108102679253,0.00526514882221818,0.005305803846567869,0.0005470407195389271,4.0655024349689484e-05
3776,Cascade,0.0032340914476662874,0.003227018052712083,0.003227018052712083,-7.073394954204559e-06,0.0
2201,Single Input Module,0.0005558812408708036,0.000569306721445173,0.0005790991708636284,1.342548057436943e-05,9.792449418455362e-06
1682,Feedback Loop,0.002509788842871785,0.002655157120898366,0.0027219331823289394,0.0001453682780265808,6.677606143057346e-05
3552,Cascade,0.00735851563513279,0.007458934560418129,0.007563901599496603,0.00010041892528533936,0.00010496703907847404
3842,Cascade,0.006516990717500448,0.0063462876714766026,0.006278863176703453,-0.00017070304602384567,-6.742449477314949e-05
2374,Single Input Module,0.011918461881577969,0.011930425651371479,0.011938565410673618,1.1963769793510437e-05,8.139759302139282e-06
433,Feedforward Loop,0.0028915507718920708,0.0028557940386235714,0.00284253410063684,-3.5756733268499374e-05,-1.325993798673153e-05
551,Feedforward Loop,0.00652424106374383,0.006663311272859573,0.006720555946230888,0.00013907020911574364,5.7244673371315e-05
1366,Feedback Loop,0.0025108749978244305,0.0029689546208828688,0.0029207849875092506,0.0004580796230584383,-4.8169633373618126e-05
2831,Single Input Module,0.001298317569307983,0.001303654513321817,0.0013095294125378132,5.336944013834e-06,5.874899215996265e-06
1451,Feedback Loop,0.006577994674444199,0.007406747899949551,0.007466674782335758,0.000828753225505352,5.992688238620758e-05
3009,Cascade,0.0022769728675484657,0.00215534889139235,0.002121706260368228,-0.00012162397615611553,-3.364263102412224e-05
2899,Single Input Module,0.0005320753552950919,0.0007012782152742147,0.0007725281757302582,0.00016920285997912288,7.124996045604348e-05
2712,Single Input Module,0.01213030144572258,0.01210579089820385,0.012105297297239304,-2.4510547518730164e-05,-4.936009645462036e-07
3307,Cascade,0.004838193766772747,0.004794069565832615,0.004768467508256435,-4.412420094013214e-05,-2.5602057576179504e-05
249,Feedforward Loop,0.012251922860741615,0.012168695218861103,0.012139856815338135,-8.322764188051224e-05,-2.8838403522968292e-05
3215,Cascade,0.0002018604427576065,0.00017677160212770104,0.0001735597033984959,-2.5088840629905462e-05,-3.2118987292051315e-06
2762,Single Input Module,0.003860684111714363,0.003862538607791066,0.003869602456688881,1.8544960767030716e-06,7.063848897814751e-06
2055,Single Input Module,6.812965148128569e-05,9.239514474757016e-05,0.00010298613051418215,2.4265493266284466e-05,1.0590985766611993e-05
29,Feedforward Loop,0.001964064547792077,0.001759807812049985,0.0016929947305470705,-0.00020425673574209213,-6.681308150291443e-05
3684,Cascade,0.00011482416448416188,0.00011284386710030958,0.0001154932178906165,-1.980297383852303e-06,2.6493507903069258e-06
2601,Single Input Module,,,,,
1786,Feedback Loop,0.0008641965105198324,0.0006834571831859648,0.0006306411232799292,-0.00018073932733386755,-5.281605990603566e-05
1852,Feedback Loop,0.00908978283405304,0.014099514111876488,0.014117943122982979,0.005009731277823448,1.842901110649109e-05
2794,Single Input Module,0.0059044319204986095,0.005902806296944618,0.005903326906263828,-1.6256235539913177e-06,5.206093192100525e-07
80,Feedforward Loop,0.006855026353150606,0.007074996829032898,0.007161092013120651,0.0002199704758822918,8.60951840877533e-05
952,Feedforward Loop,0.004588153213262558,0.004361427389085293,0.004286385606974363,-0.00022672582417726517,-7.504178211092949e-05
588,Feedforward Loop,0.0029597182292491198,0.002908294554799795,0.0028912753332406282,-5.142367444932461e-05,-1.7019221559166908e-05
3951,Cascade,7.794067641953006e-05,7.794067641953006e-05,7.794067641953006e-05,0.0,0.0
550,Feedforward Loop,0.007204911205917597,0.007301331497728825,0.007341091986745596,9.64202918112278e-05,3.9760489016771317e-05
1205,Feedback Loop,0.002280325395986438,0.0027402990963310003,0.002723964164033532,0.00045997370034456253,-1.6334932297468185e-05
3989,Cascade,0.00010212576307822019,7.097857451299205e-05,6.726916035404429e-05,-3.1147188565228134e-05,-3.709414158947766e-06
2217,Single Input Module,0.0001734505785861984,0.0001394353894283995,0.0001273466768907383,-3.4015189157798886e-05,-1.2088712537661195e-05
3602,Cascade,0.005598533432930708,0.005673587322235107,0.0056452443823218346,7.505388930439949e-05,-2.8342939913272858e-05
58,Feedforward Loop,0.0016360994195565581,0.0015359086683019996,0.0015036287950351834,-0.00010019075125455856,-3.227987326681614e-05
3553,Cascade,0.006778339389711618,0.007053529843688011,0.007151355501264334,0.00027519045397639275,9.782565757632256e-05
3306,Cascade,0.003559728153049946,0.0035930704325437546,0.0036223360802978277,3.3342279493808746e-05,2.9265647754073143e-05
136,Feedforward Loop,0.006653423421084881,0.006533853709697723,0.006494027562439442,-0.00011956971138715744,-3.982614725828171e-05
1822,Feedback Loop,0.006870388053357601,0.006774125620722771,0.006723200902342796,-9.626243263483047e-05,-5.0924718379974365e-05
2830,Single Input Module,0.0001972564496099949,0.00018099475710187107,0.00017916054639499635,-1.6261692508123815e-05,-1.8342107068747282e-06
3426,Cascade,0.0003206873661838472,0.0003204231325071305,0.0003215129254385829,-2.642336767166853e-07,1.0897929314523935e-06
649,Feedforward Loop,0.0009886083425953984,0.0008829011349007487,0.0008577376138418913,-0.0001057072076946497,-2.516352105885744e-05
2200,Single Input Module,0.01072111539542675,0.010678635910153389,0.010665921494364738,-4.2479485273361206e-05,-1.2714415788650513e-05
1908,Feedback Loop,0.004105104599148035,0.007469687145203352,0.007469687145203352,0.003364582546055317,0.0
2827,Single Input Module,0.0002759259077720344,0.00029114974313415587,0.0002988319320138544,1.5223835362121463e-05,7.682188879698515e-06
1295,Feedback Loop,0.004502411466091871,0.0047402954660356045,0.004739135038107634,0.00023788399994373322,-1.1604279279708862e-06
97,Feedforward Loop,0.000686370418407023,0.0006422634469345212,0.0006246708217076957,-4.4106971472501755e-05,-1.7592625226825476e-05
