graph_id,experiment,n_ablated,ablated_features,sae_recon_mse,sae_ablation_mse,latent_change_mean,n_affected_nodes,total_nodes,gnn_fidelity_mse,gnn_causal_mse
4367,latent512_k16_ablate_z496,1,z496,6.451817284869321e-07,1.8645387456217577e-07,4.903750323137501e-06,3,10,9.396590172627839e-08,2.5768533973291596e-08
4185,latent512_k16_ablate_z496,1,z496,1.8777909644995816e-06,1.1626419826882284e-08,7.213737376332574e-07,1,10,8.502871651216992e-08,3.748600596598095e-10
4460,latent512_k16_ablate_z496,1,z496,3.4262907320226077e-06,1.733136798520718e-07,4.7259491111617535e-06,3,10,1.1751402553272783e-06,3.08645944357977e-08
4416,latent512_k16_ablate_z496,1,z496,8.429524314124137e-07,2.7642943223327165e-07,8.431466994807124e-06,7,10,3.1254856480700255e-07,2.1176656872512467e-08
3778,latent512_k16_ablate_z496,1,z496,1.3039075952292478e-07,1.169819441315667e-08,7.235970542751602e-07,1,10,2.0658574850784817e-09,1.1491615437009273e-09
4808,latent512_k16_ablate_z496,1,z496,5.820517685606319e-07,1.599945278485393e-07,3.5310536077304278e-06,3,10,9.417236768172188e-09,8.050836441952924e-09
2648,latent512_k16_ablate_z496,1,z496,3.844519014251091e-08,0.0,0.0,0,10,2.7090463206036475e-10,0.0
4371,latent512_k16_ablate_z496,1,z496,3.5713092074729502e-06,0.0,0.0,0,10,6.99436895956751e-07,0.0
2534,latent512_k16_ablate_z496,1,z496,9.06296548919272e-09,0.0,0.0,0,10,1.8569057749773243e-11,0.0
2383,latent512_k16_ablate_z496,1,z496,4.0887822905233406e-08,0.0,0.0,0,10,3.899190414990983e-10,0.0
2882,latent512_k16_ablate_z496,1,z496,7.461097517591497e-09,0.0,0.0,0,10,9.011724526331033e-12,0.0
2616,latent512_k16_ablate_z496,1,z496,4.769930939119149e-08,0.0,0.0,0,10,3.648929214339347e-10,0.0
375,latent512_k16_ablate_z496,1,z496,1.978110759637275e-07,0.0,0.0,0,10,2.9025661874015896e-09,0.0
764,latent512_k16_ablate_z496,1,z496,1.4383493862624164e-07,0.0,0.0,0,10,5.725391827304804e-10,0.0
2769,latent512_k16_ablate_z496,1,z496,2.460805248460929e-08,0.0,0.0,0,10,1.0942482336906423e-10,0.0
485,latent512_k16_ablate_z496,1,z496,9.15285980340741e-08,0.0,0.0,0,10,1.3693985945195664e-09,0.0
2046,latent512_k16_ablate_z496,1,z496,3.295365758049229e-08,0.0,0.0,0,10,2.1827206708735503e-10,0.0
3368,latent512_k16_ablate_z496,1,z496,6.810837760440336e-08,6.529667473387235e-08,1.7095535440603271e-06,1,10,6.23977036706691e-10,0.0
4991,latent512_k16_ablate_z496,1,z496,8.050445103435777e-06,9.426082669961033e-08,3.221669885533629e-06,3,10,5.017562216380611e-06,7.808506730100362e-09
4307,latent512_k16_ablate_z496,1,z496,1.4116235433903057e-05,7.350780606429907e-08,1.8138609902962344e-06,1,10,2.3022960249363678e-06,1.9546227747468947e-08
3558,latent512_k16_ablate_z496,1,z496,9.451167670704308e-08,1.4823416272236045e-08,8.145383390001371e-07,1,10,4.365122430183277e-10,0.0
3142,latent512_k16_ablate_z496,1,z496,1.7824012843448145e-07,4.301185629884685e-09,4.3876443100998586e-07,1,10,2.695657475015878e-09,5.283525839061554e-10
3606,latent512_k16_ablate_z496,1,z496,2.441129254293628e-07,7.092249454387911e-09,5.634163358081423e-07,1,10,1.4887636679006278e-09,0.0
4913,latent512_k16_ablate_z496,1,z496,3.730384150912869e-06,1.0758591351134328e-08,6.939288255125575e-07,1,10,6.538434149661043e-07,1.2833576423787463e-09
2529,latent512_k16_ablate_z496,1,z496,3.639263468357967e-08,0.0,0.0,0,10,2.2440201086215694e-10,0.0
1508,latent512_k16_ablate_z496,1,z496,2.2004437028044777e-07,3.838851014847933e-08,1.3108049188303994e-06,1,10,7.301292903605372e-09,3.2980987385577976e-10
1056,latent512_k16_ablate_z496,1,z496,2.9039574656053446e-07,2.1027365448844648e-07,7.260205165948719e-06,7,10,1.1791894571899775e-08,7.854559669340233e-09
3232,latent512_k16_ablate_z496,1,z496,1.1050381942823151e-07,9.908719533768817e-08,2.597873390186578e-06,2,10,1.4395273861822488e-09,2.801470999624911e-10
3863,latent512_k16_ablate_z496,1,z496,6.421858245175827e-08,4.269428899306149e-08,1.3823622566633276e-06,1,10,1.7825110831815039e-10,0.0
888,latent512_k16_ablate_z496,1,z496,1.0272793815602199e-07,0.0,0.0,0,10,2.0777166098717714e-10,0.0
1626,latent512_k16_ablate_z496,1,z496,1.0015632767590432e-07,0.0,0.0,0,10,1.5759361593481458e-09,0.0
1735,latent512_k16_ablate_z496,1,z496,2.277171660125532e-07,0.0,0.0,0,10,1.4659572222797124e-08,0.0
867,latent512_k16_ablate_z496,1,z496,1.0552339801961352e-07,0.0,0.0,0,10,8.313255639436079e-10,0.0
2853,latent512_k16_ablate_z496,1,z496,3.103735224385673e-08,0.0,0.0,0,10,1.9294654762802566e-10,0.0
3545,latent512_k16_ablate_z496,1,z496,3.208753085459648e-08,0.0,0.0,0,10,2.2670346155884147e-10,0.0
4722,latent512_k16_ablate_z496,1,z496,2.7568316909309942e-06,3.4045590791009772e-09,3.903620324763324e-07,1,10,5.848028195032384e-07,7.48767881031398e-10
3900,latent512_k16_ablate_z496,1,z496,7.471408736137164e-08,2.2561607693205588e-08,1.0048986496258294e-06,1,10,1.1959200296729477e-09,1.5569553979410955e-10
4210,latent512_k16_ablate_z496,1,z496,1.4310678579931846e-06,4.5690292438393953e-08,1.628730387892574e-06,2,10,6.009440767229535e-08,1.1038296499066291e-08
4950,latent512_k16_ablate_z496,1,z496,1.4742215626029065e-06,7.760726816741226e-08,2.1074154119560262e-06,2,10,6.798059359880426e-08,4.3305421471018235e-09
2260,latent512_k16_ablate_z496,1,z496,4.834517852714271e-08,0.0,0.0,0,10,4.028168076875005e-10,0.0
49,latent512_k16_ablate_z496,1,z496,3.559418360055133e-08,0.0,0.0,0,10,2.427598677634535e-10,0.0
760,latent512_k16_ablate_z496,1,z496,1.3205887228195934e-07,0.0,0.0,0,10,5.119442716972067e-11,0.0
4624,latent512_k16_ablate_z496,1,z496,2.076980081255897e-06,2.13103801272041e-09,3.0883947488291597e-07,1,10,9.339796491758534e-08,1.1232481611500589e-10
1630,latent512_k16_ablate_z496,1,z496,1.7459289836097014e-07,1.0884495083018919e-07,3.5871689760824665e-06,3,10,2.586735714515953e-09,4.36932356961961e-09
4629,latent512_k16_ablate_z496,1,z496,1.5238522337313043e-06,0.0,0.0,0,10,9.81417315415456e-07,0.0
4853,latent512_k16_ablate_z496,1,z496,6.920566193002742e-06,1.493256434059731e-07,2.585260972409742e-06,1,10,1.909352477014181e-06,1.99206198203683e-08
3590,latent512_k16_ablate_z496,1,z496,1.1051017878571656e-07,2.3577313434941516e-09,3.2485149858985096e-07,1,10,4.756003590955515e-09,1.3877787807814457e-10
446,latent512_k16_ablate_z496,1,z496,6.357535653478408e-08,0.0,0.0,0,10,7.398048285089942e-10,0.0
3414,latent512_k16_ablate_z496,1,z496,1.1540389266428974e-07,0.0,0.0,0,10,2.2331195226321654e-10,0.0
4885,latent512_k16_ablate_z496,1,z496,1.347113084193552e-06,0.0,0.0,0,10,2.631916515838384e-07,0.0
4720,latent512_k16_ablate_z496,1,z496,1.0282763014402008e-06,3.044440433086493e-08,1.1673230346787022e-06,1,10,3.0628774538854486e-07,3.0934113048886047e-09
261,latent512_k16_ablate_z496,1,z496,1.522516583918332e-07,0.0,0.0,0,10,4.660648533771905e-10,0.0
752,latent512_k16_ablate_z496,1,z496,1.0223732260783436e-07,4.66051801595313e-08,1.4442891824728576e-06,1,10,3.720391106298848e-09,0.0
3066,latent512_k16_ablate_z496,1,z496,9.004730827655294e-08,0.0,0.0,0,10,1.7630192861162186e-09,0.0
1194,latent512_k16_ablate_z496,1,z496,1.3539258247874386e-07,2.0813648027306897e-10,9.65186686130437e-08,1,10,1.2826807394006323e-09,7.993605777301127e-12
3775,latent512_k16_ablate_z496,1,z496,1.7979856181682408e-07,3.9928046646764415e-08,1.8655385929378099e-06,2,10,7.453306416493888e-09,0.0
809,latent512_k16_ablate_z496,1,z496,7.177023775284397e-08,0.0,0.0,0,10,1.3135278420506324e-09,0.0
3504,latent512_k16_ablate_z496,1,z496,3.826384187277654e-08,4.360336536279874e-09,4.4177085101182456e-07,1,10,1.3958323386020766e-09,3.9692657494150296e-10
1179,latent512_k16_ablate_z496,1,z496,3.446139658080938e-07,4.5546251215000666e-08,1.91204753718921e-06,2,10,1.487425471680126e-08,3.897015599108045e-09
4382,latent512_k16_ablate_z496,1,z496,8.487249942845665e-07,3.476165844062962e-08,1.2473468586904346e-06,1,10,7.307657767796627e-08,2.807414856142998e-10
3796,latent512_k16_ablate_z496,1,z496,1.4246396062844724e-07,1.9592285571690127e-09,2.9612857588290353e-07,1,10,1.7240455729705673e-09,0.0
437,latent512_k16_ablate_z496,1,z496,2.158199379209691e-07,3.60258702869487e-08,1.269826839234156e-06,1,10,2.8731821366534405e-09,0.0
2455,latent512_k16_ablate_z496,1,z496,4.697534450315288e-08,0.0,0.0,0,10,4.1036277154127276e-10,0.0
1672,latent512_k16_ablate_z496,1,z496,1.0627312718725079e-07,2.3893672818076084e-08,1.0341387906009913e-06,1,10,2.6169371114548312e-09,7.750348141044583e-10
3477,latent512_k16_ablate_z496,1,z496,1.415350112665692e-07,0.0,0.0,0,10,5.408054448707844e-09,0.0
4045,latent512_k16_ablate_z496,1,z496,2.831480287568411e-06,3.3879092864452787e-09,3.8940652302699164e-07,1,10,7.261925816237635e-07,4.80471940011995e-10
4494,latent512_k16_ablate_z496,1,z496,2.706896566451178e-06,5.4922725922779136e-08,2.3476763999497052e-06,3,10,1.5077048942657711e-07,8.918620508779895e-09
3465,latent512_k16_ablate_z496,1,z496,8.245716287547111e-08,0.0,0.0,0,10,1.1997577376021695e-09,0.0
1911,latent512_k16_ablate_z496,1,z496,1.7258760465210798e-07,2.828460310411174e-08,1.584534174980945e-06,2,10,5.891859000684008e-09,8.111015747935824e-10
423,latent512_k16_ablate_z496,1,z496,1.6296606020205218e-07,1.6261918478477355e-09,2.6978869982485776e-07,1,10,6.463697355130194e-10,0.0
3595,latent512_k16_ablate_z496,1,z496,2.3709098684321361e-07,7.856110073589662e-08,2.3364993921859423e-06,2,10,1.4359856637113921e-09,1.0086953841637047e-11
247,latent512_k16_ablate_z496,1,z496,9.51672305404827e-08,1.8179827421249684e-08,9.02052875062509e-07,1,10,4.298358891041687e-10,0.0
2693,latent512_k16_ablate_z496,1,z496,2.1912178738148214e-08,0.0,0.0,0,10,8.254667782647829e-11,0.0
3124,latent512_k16_ablate_z496,1,z496,1.1347671247108337e-08,0.0,0.0,0,10,1.401082860841285e-10,0.0
450,latent512_k16_ablate_z496,1,z496,5.610365860775346e-08,0.0,0.0,0,10,3.5241026763443983e-10,0.0
3797,latent512_k16_ablate_z496,1,z496,4.729245262069526e-08,0.0,0.0,0,10,3.473231424688805e-10,0.0
3807,latent512_k16_ablate_z496,1,z496,3.064312892320231e-08,0.0,0.0,0,10,4.3644926561725583e-10,0.0
4994,latent512_k16_ablate_z496,1,z496,2.049062686637626e-06,4.769934847104196e-08,2.0660465906985337e-06,2,10,1.534135378733481e-07,2.0742227935244273e-09
1742,latent512_k16_ablate_z496,1,z496,1.6097928323688393e-07,1.2921103298424441e-08,7.604785423609428e-07,1,10,6.0025522330420245e-09,9.49720302401147e-10
2275,latent512_k16_ablate_z496,1,z496,2.8224212300642648e-08,0.0,0.0,0,10,1.8954082747768553e-10,0.0
2873,latent512_k16_ablate_z496,1,z496,3.381317625894553e-08,0.0,0.0,0,10,2.5354154886692015e-10,0.0
2239,latent512_k16_ablate_z496,1,z496,4.087585026013585e-08,0.0,0.0,0,10,2.9190605488338406e-10,0.0
2215,latent512_k16_ablate_z496,1,z496,3.59072203082178e-08,0.0,0.0,0,10,2.1586199494549874e-10,0.0
650,latent512_k16_ablate_z496,1,z496,5.692665538958863e-08,4.1829160579709423e-08,1.3682856661034748e-06,1,10,4.432729738823582e-10,0.0
1275,latent512_k16_ablate_z496,1,z496,2.271896448746702e-07,1.0017136986562036e-07,2.860504764612415e-06,3,10,6.6336296455915544e-09,5.04210362350932e-09
386,latent512_k16_ablate_z496,1,z496,1.645753400225658e-07,0.0,0.0,0,10,1.0991360044343423e-09,0.0
2669,latent512_k16_ablate_z496,1,z496,3.996931141614368e-08,0.0,0.0,0,10,2.442011870495975e-10,0.0
2665,latent512_k16_ablate_z496,1,z496,5.5841816504198505e-08,0.0,0.0,0,10,4.891161364817265e-10,0.0
1023,latent512_k16_ablate_z496,1,z496,4.924639824821497e-07,1.2114628589188214e-07,3.2625328003632603e-06,2,10,4.73254431199166e-08,4.716895762868489e-09
597,latent512_k16_ablate_z496,1,z496,4.652919756154006e-07,0.0,0.0,0,10,4.6006663756426036e-11,0.0
690,latent512_k16_ablate_z496,1,z496,5.303923700239466e-08,0.0,0.0,0,10,1.0835401464959205e-09,0.0
491,latent512_k16_ablate_z496,1,z496,1.8164215020988195e-07,1.8759412512281415e-07,4.0676432035979815e-06,2,10,3.142764382069174e-10,0.0
