graph_id,experiment,n_ablated_features,ablated_features,reconstruction_mse,latent_change_mean,n_affected_nodes,total_nodes,gnn_output_mse
4367,latent512_k4_ablate_z290,1,z290,3.8062717067077756e-06,0.0,0,10,1.8778696642129944e-07
4185,latent512_k4_ablate_z290,1,z290,1.0938341802102514e-05,0.0,0,10,2.462468501107651e-06
4460,latent512_k4_ablate_z290,1,z290,1.726314985717181e-05,0.0,0,10,3.351734903844772e-06
4416,latent512_k4_ablate_z290,1,z290,3.7418431020341814e-06,0.0,0,10,4.45143086835742e-07
3778,latent512_k4_ablate_z290,1,z290,5.22868276675581e-07,0.0,0,10,2.9060734263453014e-08
4808,latent512_k4_ablate_z290,1,z290,3.706321876961738e-06,0.0,0,10,7.716575112226565e-08
2648,latent512_k4_ablate_z290,1,z290,2.824356499786518e-07,0.0,0,10,1.5099379524485812e-08
4371,latent512_k4_ablate_z290,1,z290,2.4310542357852682e-05,0.0,0,10,1.151508422481129e-05
2534,latent512_k4_ablate_z290,1,z290,9.482779717018275e-08,0.0,0,10,2.8703974752630756e-09
2383,latent512_k4_ablate_z290,1,z290,1.6654408341310045e-07,0.0,0,10,2.1714908982062298e-08
2882,latent512_k4_ablate_z290,1,z290,6.413274888927845e-08,0.0,0,10,1.3920444796866605e-09
2616,latent512_k4_ablate_z290,1,z290,3.0239726811487344e-07,0.0,0,10,2.0329320449263832e-08
375,latent512_k4_ablate_z290,1,z290,1.513190341029258e-06,0.0,0,10,1.782018088647419e-08
764,latent512_k4_ablate_z290,1,z290,6.138978392300487e-07,0.0,0,10,1.2113323677453991e-08
2769,latent512_k4_ablate_z290,1,z290,1.7035570465395722e-07,0.0,0,10,6.0997358275471925e-09
485,latent512_k4_ablate_z290,1,z290,6.127357892182772e-07,0.0,0,10,2.5393187996769484e-08
2046,latent512_k4_ablate_z290,1,z290,1.861265417346658e-07,0.0,0,10,1.2162800544501806e-08
3368,latent512_k4_ablate_z290,1,z290,5.570868211179913e-07,0.0,0,10,5.12195352797562e-09
4991,latent512_k4_ablate_z290,1,z290,3.155741796945222e-05,0.0,0,10,2.5872566766338423e-05
4307,latent512_k4_ablate_z290,1,z290,6.16950128460303e-05,0.0,0,10,4.178548988420516e-05
3558,latent512_k4_ablate_z290,1,z290,5.913592531214817e-07,0.0,0,10,5.57704016301841e-09
3142,latent512_k4_ablate_z290,1,z290,1.1848130725411465e-06,0.0,0,10,8.747355195737327e-08
3606,latent512_k4_ablate_z290,1,z290,1.2121009831389529e-06,0.0,0,10,1.1292968338239007e-07
4913,latent512_k4_ablate_z290,1,z290,1.75619607034605e-05,0.0,0,10,3.1775755360285984e-06
2529,latent512_k4_ablate_z290,1,z290,2.1485621459760296e-07,0.0,0,10,1.2498465373766976e-08
1508,latent512_k4_ablate_z290,1,z290,1.2406926543917507e-06,0.0,0,10,8.972776299742691e-08
1056,latent512_k4_ablate_z290,1,z290,1.7016712945405743e-06,0.0,0,10,4.842733503096497e-08
3232,latent512_k4_ablate_z290,1,z290,7.919662721178611e-07,0.0,0,10,4.03473130461407e-08
3863,latent512_k4_ablate_z290,1,z290,3.0032799713808345e-07,0.0,0,10,5.524421364810905e-09
888,latent512_k4_ablate_z290,1,z290,5.468911581374414e-07,0.0,0,10,5.540242042911814e-09
1626,latent512_k4_ablate_z290,1,z290,5.818429826831562e-07,0.0,0,10,3.049009933420166e-08
1735,latent512_k4_ablate_z290,1,z290,1.0734127044997877e-06,0.0,0,10,2.2642407060402547e-08
