feature,in_cascade,in_feedback_loop,in_feedforward_loop,in_single_input_module
z1,-0.006930041710660574,0.025675637808728335,-0.00758142631410315,-0.007550810816874701
z10,,,,
z100,,,,
z101,,,,
z102,,,,
z103,0.03096707323288978,0.03120668096133595,-0.013236973410328617,-0.05039508723524716
z104,,,,
z105,-0.006930041710660574,-0.00779104338095927,-0.007581426314103149,-0.007550810816874703
z106,-0.004497153960121037,-0.014220348334888947,0.0036961334464658546,-0.027610848650097997
z107,,,,
z108,,,,
z109,,,,
z11,,,,
z110,,,,
z111,,,,
z112,,,,
z113,-0.009795814639287585,0.013448800893240206,-0.010716565639154373,-0.010673289747253444
z114,,,,
z115,,,,
z116,,,,
z117,0.005632363001330347,-0.014653525447427818,-0.013955022752054852,0.019544700892208507
z118,0.01291452117415249,0.004972918746486262,-0.026026800278836762,-0.02296266429955977
z119,,,,
z12,0.0016419394997174899,0.013111482392282763,0.006752258519025346,-0.021263436298947544
z120,0.0097916050869931,0.03778777092341004,-0.006144428739814831,-0.06554241747353412
z121,,,,
z122,,,,
z123,-0.008859438966900777,0.0017767955885474047,-0.016837988257658032,0.02845806865804793
z124,,,,
z125,0.019466278889937516,0.024183078125660163,-0.023534663667830087,-0.06014972662768986
z126,,,,
z127,,,,
z128,,,,
z129,0.02301095295156102,-0.01885354423763888,0.00152398338244487,0.006360769936826926
z13,,,,
z130,0.008819880448849182,-0.0018690643501362392,0.0019075060836091697,-0.003765719725059031
z131,,,,
z132,,,,
z133,0.04179505420534527,-0.021923629603556663,-0.029763153859309978,-0.01417761035717327
z134,,,,
z135,,,,
z136,,,,
z137,0.012433518635982644,0.012524108186481614,-0.013017701453537003,-0.05112104652274872
z138,,,,
z139,,,,
z14,,,,
z140,0.01657309212714483,0.0008579263447669734,-0.005778096593686988,-0.011157825660650126
z141,,,,
z142,0.029848511727145588,-0.019519562106467152,-0.002136606164725293,-0.003351319086553564
z143,,,,
z144,,,,
z145,0.00570656173206928,0.1000544531629239,-0.022271844174347088,-0.07260589532006083
z146,,,,
z147,,,,
z148,,,,
z149,-0.009648931587307836,-0.020335950082446534,0.009480623206683515,0.010244557944142698
z15,-0.006930041710660575,-0.007791043380959272,-0.007581426314103147,-0.007550810816874704
z150,,,,
z151,0.005779269586385967,-0.018955556992885786,0.017640494621206326,-0.018449173466641367
z152,,,,
z153,,,,
z154,,,,
z155,-0.0046304983338698764,0.015473683318761379,-0.011640721793167374,-0.011593713951762553
