feature,in_cascade,in_feedback_loop,in_feedforward_loop,in_single_input_module
z1,,,,
z10,,,,
z100,,,,
z101,,,,
z102,,,,
z103,,,,
z104,,,,
z105,,,,
z106,,,,
z107,,,,
z108,,,,
z109,,,,
z11,,,,
z110,,,,
z111,,,,
z112,,,,
z113,,,,
z114,,,,
z115,,,,
z116,,,,
z117,,,,
z118,0.02903132281201222,0.00853300401978,0.026501038507792042,0.010961110326118639
z119,,,,
z12,,,,
z120,,,,
z121,0.10212442318823704,0.14904601637013792,0.10659962299557023,-0.021767679767199073
z122,,,,
z123,,,,
z124,,,,
z125,0.14185644504206502,0.0978265827223467,0.1424587597629708,0.0642204691081141
z126,,,,
z127,,,,
z128,,,,
z129,,,,
z13,,,,
z130,-0.0968595800892822,-0.11029503117094,-0.07814997810132708,-0.016828245470895294
z131,,,,
z132,,,,
z133,0.0205514478366512,0.020392320028414082,0.01876024437593387,0.022747826434609496
z134,,,,
z135,,,,
z136,,,,
z137,0.20451548928654023,0.2096322641873752,0.17165323497158758,-0.0019866559598038826
z138,,,,
z139,,,,
z14,,,,
z140,,,,
z141,,,,
z142,,,,
z143,,,,
z144,,,,
z145,,,,
z146,,,,
z147,,,,
z148,,,,
z149,,,,
z15,,,,
z150,,,,
z151,,,,
z152,,,,
z153,,,,
z154,,,,
z155,,,,
z156,,,,
z157,,,,
z158,,,,
z159,,,,
z16,,,,
z160,,,,
z161,0.03462910500650595,-0.004004041870170855,0.03161093454853084,0.015020881379995368
z162,,,,
z163,,,,
z164,,,,
z165,,,,
z166,,,,
z167,,,,
z168,,,,
z169,-0.06819604360215498,0.05511834486606499,-0.056271677457869325,-0.049056763199172945
z17,0.017013302936477986,0.03501011708056164,0.03220812301622515,0.0039305947765383605
z170,,,,
z171,,,,
z172,0.06836449391851798,0.03644171957055721,0.0700628860817871,-0.002658779378443262
z173,,,,
z174,,,,
z175,,,,
z176,,,,
z177,,,,
z178,,,,
z179,,,,
z18,,,,
z180,,,,
z181,,,,
z182,0.10879267577434575,0.10012367151750334,0.1321732309726304,0.04938730579143477
z183,,,,
z184,,,,
z185,-0.026580463350428258,0.07043930371165447,-0.04363729048406947,-0.048297424757606004
z186,,,,
z187,,,,
z188,,,,
z189,,,,
z19,,,,
z190,,,,
z191,,,,
z192,,,,
z193,,,,
z194,,,,
z195,,,,
z196,,,,
z197,-0.015727680739337783,0.034336476853822906,-0.01888567865057207,-0.024833628994166357
z198,,,,
z199,-0.003427738661008862,-0.002484075239717401,0.0053033185111518175,-0.015531101749397761
z2,,,,
z20,,,,
z200,0.18316665627281878,0.14769297676475154,0.16377020178115148,0.030243372396783354
z201,,,,
z202,,,,
z203,,,,
z204,,,,
z205,,,,
z206,-0.05617865091354141,0.06253061421084055,-0.04700518877357761,-0.04968831823546272
z207,,,,
z208,,,,
z209,,,,
z21,,,,
z210,,,,
z211,,,,
z212,,,,
z213,,,,
z214,,,,
z215,,,,
z216,,,,
z217,,,,
z218,,,,
z219,,,,
z22,,,,
z220,,,,
z221,,,,
z222,,,,
z223,,,,
z224,,,,
z225,,,,
z226,,,,
z227,,,,
z228,,,,
z229,,,,
z23,,,,
z230,,,,
z231,,,,
z232,,,,
z233,,,,
z234,,,,
z235,,,,
z236,,,,
z237,,,,
z238,,,,
z239,,,,
z24,,,,
z240,,,,
z241,,,,
z242,,,,
z243,-0.06839313859904675,-0.05282418395384546,-0.05070754863881004,0.030546934517252516
z244,,,,
z245,,,,
z246,,,,
z247,-0.009733621182876061,-0.009809575748265537,0.01876024437593386,-0.008793807556806883
z248,,,,
z249,,,,
z25,,,,
z250,,,,
z251,,,,
z252,,,,
z253,,,,
z254,,,,
z255,,,,
z256,,,,
z257,,,,
z258,,,,
z259,,,,
z26,,,,
z260,,,,
z261,-0.23651368138980267,-0.3297467161283678,-0.219046448612166,-0.015024237093236067
z262,,,,
z263,,,,
z264,0.14337759376190817,0.06532407919716204,0.13383214376870564,0.030247047036020804
z265,,,,
z266,,,,
z267,,,,
z268,,,,
z269,,,,
z27,,,,
z270,0.10685787506428007,0.08761706290849786,0.12501392867041722,0.07285722825237813
z271,,,,
z272,,,,
z273,,,,
z274,,,,
z275,,,,
z276,0.03070965474000141,0.0346121576285254,0.05720095570276322,0.01637674008550155
z277,,,,
z278,,,,
z279,,,,
z28,,,,
z280,,,,
z281,,,,
z282,,,,
z283,,,,
z284,-0.034196641704302325,0.057059227172875135,-0.02200682403607962,-0.048663203752343724
z285,,,,
z286,-0.03936531333288628,-0.04794445713727857,-0.01325208064370784,0.07915629811536118
z287,,,,
z288,,,,
z289,,,,
z29,,,,
z290,,,,
z291,,,,
z292,,,,
z293,,,,
z294,,,,
z295,,,,
z296,,,,
z297,,,,
z298,,,,
z299,,,,
z3,,,,
z30,,,,
z300,,,,
z301,,,,
z302,,,,
z303,,,,
z304,,,,
z305,,,,
z306,,,,
z307,0.07298564129391333,0.1223592872872192,0.02702731998474185,-0.03070158317617521
z308,,,,
z309,,,,
z31,-0.012821793655642082,0.0320838305627293,-0.019466885360662975,-0.02318575525377636
z310,,,,
z311,,,,
z312,0.038407059013082445,0.04916308783225295,0.05204496355961001,0.013520018822315138
z313,,,,
z314,,,,
z315,,,,
z316,,,,
z317,,,,
z318,,,,
z319,0.028344651316592088,0.013898274503772672,0.027647541576199103,-0.006926745880506334
z32,,,,
z320,,,,
z321,,,,
z322,,,,
z323,,,,
z324,,,,
z325,,,,
z326,,,,
z327,,,,
z328,,,,
z329,,,,
z33,,,,
z330,,,,
z331,,,,
z332,,,,
z333,0.1068925215446286,0.08852560323830518,0.12742402121733998,0.07219081577557293
z334,,,,
z335,0.022380667103712032,0.019387868822016836,0.01768322089784868,0.02182795972977325
z336,,,,
z337,,,,
z338,,,,
z339,,,,
z34,,,,
z340,,,,
z341,0.020551447836651197,-0.009809575748265534,-0.010662974532368934,-0.008793807556806888
z342,,,,
z343,,,,
z344,,,,
z345,,,,
z346,,,,
z347,,,,
z348,,,,
z349,,,,
z35,,,,
z350,,,,
z351,-0.036888750010343765,0.060737999398655235,-0.024646410410443506,-0.045642583599224865
z352,,,,
z353,,,,
z354,,,,
z355,0.02627520841650016,0.020619278181439153,0.01755271819488806,-0.003930709394310879
z356,,,,
z357,,,,
z358,,,,
z359,,,,
z36,0.05512979194504886,0.031211487248026318,0.05032484219622919,0.01723867637571433
z360,,,,
z361,,,,
z362,,,,
z363,,,,
z364,,,,
z365,,,,
z366,,,,
z367,,,,
z368,,,,
z369,,,,
z37,,,,
z370,,,,
z371,,,,
z372,,,,
z373,-0.02079794418704116,0.0263512461405654,-0.0060064431715340216,-0.01878983323080278
z374,0.002308330857946024,0.04931855858896189,-0.008242531782084854,-0.011141526248650734
z375,,,,
z376,,,,
z377,,,,
z378,,,,
z379,,,,
z38,,,,
z380,,,,
z381,,,,
z382,,,,
z383,,,,
z384,,,,
z385,-0.08664792872292679,-0.06204108725601602,-0.05860177527477432,0.018172083823126548
z386,0.09404734205544549,0.07998081989166878,0.10282973859997857,0.034685346800873935
z387,,,,
z388,,,,
z389,0.12073587369758815,0.05765191489867113,0.11013698460625777,0.029000159300217352
z39,,,,
z390,,,,
z391,,,,
z392,,,,
z393,,,,
z394,-0.010626403315464814,0.037430363256184346,-0.026776751946677148,-0.02208291906734208
z395,,,,
z396,,,,
z397,,,,
z398,,,,
z399,,,,
z4,,,,
z40,,,,
z400,,,,
z401,,,,
z402,,,,
z403,,,,
z404,,,,
z405,,,,
z406,,,,
z407,,,,
z408,,,,
z409,0.1376584256745128,0.08301682678318209,0.12811613510411185,0.0387041569882484
z41,,,,
z410,,,,
z411,,,,
z412,,,,
z413,,,,
z414,,,,
z415,,,,
z416,,,,
z417,-0.015760229374222147,0.05191421788745212,-0.03624617287736784,-0.034132460596701386
z418,,,,
z419,,,,
z42,-0.026842204022510502,0.03209074115372476,-0.006012114786391228,-0.028743252528306795
z420,,,,
z421,,,,
z422,,,,
z423,,,,
z424,,,,
z425,,,,
z426,,,,
z427,,,,
z428,,,,
z429,,,,
z43,0.04962378073505933,0.07913257920555067,0.047019305483891834,0.003919104451261715
z430,,,,
z431,,,,
z432,,,,
z433,,,,
z434,,,,
z435,,,,
z436,,,,
