feature,in_cascade,in_feedback_loop,in_feedforward_loop,in_single_input_module
z1,0.0,0.0,0.0,0.0
z10,0.0,0.0,0.0,0.0
z100,0.0,0.0,0.0,0.0
z101,0.0,0.0,0.0,0.0
z102,0.0,0.0,0.0,0.0
z103,0.0016752255096796793,0.003159812882481877,0.0020596228876240898,0.002650403133310204
z104,0.0,0.0,0.0,0.0
z105,0.0,0.0,0.0,0.0
z106,0.0,0.0,0.0,0.0
z107,0.0,0.0,0.0,0.0
z108,0.0,0.0,0.0,0.0
z109,0.0,0.0,0.0,0.0
z11,0.0,0.0,0.0,0.0
z110,0.0,0.0,0.0,0.0
z111,0.0,0.0,0.0,0.0
z112,0.0,0.0,0.0,0.0
z113,0.0,0.0,0.0,0.0
z114,0.0,0.0,0.0,0.0
z115,0.0,0.0,0.0,0.0
z116,0.0,0.0,0.0,0.0
z117,0.0,0.0,0.0,0.0
z118,0.0005922474308446835,0.0010140986862784977,0.00090613955342673,0.0026240760316452788
z119,0.0,0.0,0.0,0.0
z12,0.0,0.0,0.0,0.0
z120,0.0,0.0,0.0,0.0
z121,0.0,0.0,0.0,0.0
z122,0.0,0.0,0.0,0.0
z123,0.0,0.0,0.0,0.0
z124,0.0,0.0,0.0,0.0
z125,0.000572761016982639,0.0017418693127928618,0.0018099869821761219,0.0020448268362050865
z126,0.0,0.0,0.0,0.0
z127,0.0,0.0,0.0,0.0
z128,0.0,0.0,0.0,0.0
z129,0.0009470086375322536,0.004441693601592813,0.0015795626952017862,0.0018875786586711044
z13,0.0,0.0,0.0,0.0
z130,0.0011151285706726877,0.0015086476321894131,0.0007449085934873058,0.0006095992736811825
z131,0.0,0.0,0.0,0.0
z132,0.0,0.0,0.0,0.0
z133,0.0,0.0,0.0,0.0
z134,0.00032847556087371374,5.3007620838390994e-05,5.052021993170574e-05,5.0160044888930295e-05
z135,0.0,0.0,0.0,0.0
z136,0.0,0.0,0.0,0.0
z137,0.001112447055863016,0.007989987546329558,0.0022649391431961903,0.0035130387361796255
z138,0.0,0.0,0.0,0.0
z139,0.0,0.0,0.0,0.0
z14,0.0,0.0,0.0,0.0
z140,0.0016085936747580912,0.017161827859444107,0.0020732146760262973,0.013613697394950101
z141,0.0,0.0,0.0,0.0
z142,0.0,0.0,0.0,0.0
z143,0.0,0.0,0.0,0.0
z144,0.0,0.0,0.0,0.0
z145,0.0,0.0,0.0,0.0
z146,0.0,0.0,0.0,0.0
z147,0.0,0.0,0.0,0.0
z148,0.0,0.0,0.0,0.0
z149,0.0,0.0,0.0,0.0
z15,0.0,0.0,0.0,0.0
z150,0.0,0.0,0.0,0.0
z151,0.0,0.0,0.0,0.0
z152,0.0,0.0,0.0,0.0
z153,0.0,0.0,0.0,0.0
z154,0.0008881182417037304,0.010718432112101096,0.0010771483968425597,0.008835674545229974
z155,0.0,0.0,0.0,0.0
z156,0.0,0.0,0.0,0.0
z157,0.0,0.0,0.0,0.0
z158,0.0,0.0,0.0,0.0
z159,0.0,0.0,0.0,0.0
z16,0.0,0.0,0.0,0.0
z160,0.0,0.0,0.0,0.0
z161,0.00035969406404955865,0.001087371989218557,0.0004966789567852276,0.0006458640540781483
z162,0.0,0.0,0.0,0.0
z163,0.0,0.0,0.0,0.0
z164,0.0,0.0,0.0,0.0
z165,0.0,0.0,0.0,0.0
z166,0.0,0.0,0.0,0.0
z167,0.0,0.0,0.0,0.0
z168,0.0,0.0,0.0,0.0
z169,0.0,0.0,0.0,0.0
z17,0.0,0.0,0.0,0.0
z170,0.0,0.0,0.0,0.0
z171,0.0,0.0,0.0,0.0
z172,0.0,0.0,0.0,0.0
z173,0.0,0.0,0.0,0.0
z174,0.0,0.0,0.0,0.0
z175,0.0,0.0,0.0,0.0
z176,0.0,0.0,0.0,0.0
z177,0.0,0.0,0.0,0.0
z178,0.0,0.0,0.0,0.0
z179,0.0,0.0,0.0,0.0
z18,0.0,0.0,0.0,0.0
z180,0.0,0.0,0.0,0.0
z181,0.0,0.0,0.0,0.0
z182,0.0012048216349898006,0.003157323681942161,0.001161419096802201,0.002631630033120923
z183,0.0,0.0,0.0,0.0
z184,0.0,0.0,0.0,0.0
z185,0.0,0.0,0.0,0.0
z186,0.0,0.0,0.0,0.0
z187,0.0007238067058860749,0.0007297958322402037,0.0005057202671199103,0.0009258734335554756
z188,0.0010058605367062254,0.0014697616362573831,0.0007779994844432244,0.0009328530063245654
