number,value,datetime_start,datetime_complete,duration,params_dropout,params_hidden_dim,params_learning_rate,params_num_heads,state
0,0.004358710080850869,2025-12-08 13:31:45.198265,2025-12-08 13:34:25.664244,0 days 00:02:40.465979,0.4,48,0.0024810409748678114,8,COMPLETE
1,0.0032610646449029446,2025-12-08 13:34:25.665565,2025-12-08 13:38:17.161304,0 days 00:03:51.495739,0.0,24,0.029154431891537533,2,COMPLETE
2,0.003736076701898128,2025-12-08 13:38:17.162246,2025-12-08 13:40:11.419287,0 days 00:01:54.257041,0.0,80,0.07579479953348005,6,COMPLETE
3,0.005085817421786487,2025-12-08 13:40:11.420039,2025-12-08 13:43:38.765338,0 days 00:03:27.345299,0.1,112,5.415244119402538e-05,2,COMPLETE
4,0.005583050777204335,2025-12-08 13:43:38.766085,2025-12-08 13:46:55.243273,0 days 00:03:16.477188,0.2,40,0.0001461896279370495,6,COMPLETE
5,0.0045439263340085745,2025-12-08 13:46:55.243991,2025-12-08 13:50:51.266908,0 days 00:03:56.022917,0.15000000000000002,80,0.0002920433847181409,2,COMPLETE
6,0.004100706253666431,2025-12-08 13:50:51.268062,2025-12-08 13:54:39.313295,0 days 00:03:48.045233,0.1,64,0.0011400863701127321,8,COMPLETE
7,0.012349809287115932,2025-12-08 13:54:39.314599,2025-12-08 13:57:30.166255,0 days 00:02:50.851656,0.30000000000000004,80,4.809461967501571e-05,2,COMPLETE
8,0.004362370877061039,2025-12-08 13:57:30.167020,2025-12-08 13:58:23.272441,0 days 00:00:53.105421,0.5,16,0.01712337597316398,8,COMPLETE
9,0.00436274881940335,2025-12-08 13:58:23.273366,2025-12-08 14:01:23.582037,0 days 00:03:00.308671,0.35000000000000003,40,0.00057624872164786,2,COMPLETE
10,0.0032174778752960265,2025-12-08 14:01:23.582496,2025-12-08 14:04:14.836221,0 days 00:02:51.253725,0.0,8,0.007566569918399308,4,COMPLETE
11,0.0032005052198655903,2025-12-08 14:04:14.836913,2025-12-08 14:06:57.241530,0 days 00:02:42.404617,0.0,8,0.013090510158339484,4,COMPLETE
12,0.0032281033927574754,2025-12-08 14:06:57.242259,2025-12-08 14:09:47.842560,0 days 00:02:50.600301,0.0,8,0.005585729861813066,4,COMPLETE
13,0.004353403928689659,2025-12-08 14:09:47.843369,2025-12-08 14:11:05.059077,0 days 00:01:17.215708,0.1,8,0.007394842664321033,4,COMPLETE
14,0.0043506992515176535,2025-12-08 14:11:05.059541,2025-12-08 14:13:16.119547,0 days 00:02:11.060006,0.05,120,0.058381793192751684,4,COMPLETE
15,0.004358800360932946,2025-12-08 14:13:16.120972,2025-12-08 14:15:04.325077,0 days 00:01:48.204105,0.2,24,0.007402040513785801,6,COMPLETE
16,0.004344079119618982,2025-12-08 14:15:04.326573,2025-12-08 14:18:39.710958,0 days 00:03:35.384385,0.25,56,0.0020403462960556637,4,COMPLETE
17,0.004039868537802249,2025-12-08 14:18:39.712135,2025-12-08 14:22:21.579094,0 days 00:03:41.866959,0.05,32,0.02100282763098494,4,COMPLETE
18,0.004358458274509758,2025-12-08 14:22:21.579815,2025-12-08 14:24:21.610960,0 days 00:02:00.031145,0.15000000000000002,8,0.00379048463968564,6,COMPLETE
19,0.0043635229812934995,2025-12-08 14:24:21.611411,2025-12-08 14:25:32.521535,0 days 00:01:10.910124,0.5,96,0.013102415572797833,4,COMPLETE
