number,value,datetime_start,datetime_complete,duration,params_dropout,params_hidden_dim,params_learning_rate,state
0,0.14939121901988983,2025-12-08 09:42:02.587918,2025-12-08 09:49:15.813486,0 days 00:07:13.225568,0.4,104,4.207053950287933e-05,COMPLETE
1,0.004569954995531589,2025-12-08 09:42:02.588729,2025-12-08 09:45:21.519291,0 days 00:03:18.930562,0.05,248,0.002537815508265664,COMPLETE
2,0.2045406587421894,2025-12-08 09:42:02.590177,2025-12-08 09:49:17.517073,0 days 00:07:14.926896,0.45,160,1.2087541473056957e-05,COMPLETE
3,0.004555309249553829,2025-12-08 09:42:02.591298,2025-12-08 09:47:36.018302,0 days 00:05:33.427004,0.35000000000000003,24,0.07579479953348005,COMPLETE
4,0.12936539947986603,2025-12-08 09:45:21.520615,2025-12-08 09:52:37.009204,0 days 00:07:15.488589,0.1,216,5.3370327626039544e-05,COMPLETE
5,0.0045126755721867085,2025-12-08 09:47:36.018996,2025-12-08 09:52:29.385193,0 days 00:04:53.366197,0.15000000000000002,56,0.0012561043700013551,COMPLETE
6,0.00452462857356295,2025-12-08 09:49:15.814177,2025-12-08 09:52:26.826348,0 days 00:03:11.012171,0.15000000000000002,120,0.0028016351587162596,COMPLETE
7,0.005929406499490142,2025-12-08 09:49:17.517614,2025-12-08 09:56:24.982307,0 days 00:07:07.464693,0.15000000000000002,48,0.0002920433847181409,COMPLETE
8,0.004514609870966524,2025-12-08 09:52:26.827006,2025-12-08 09:55:50.261211,0 days 00:03:23.434205,0.1,128,0.002133132871910055,COMPLETE
9,0.010386911453679204,2025-12-08 09:52:29.385830,2025-12-08 09:59:48.361594,0 days 00:07:18.975764,0.2,16,0.00023739423955292566,COMPLETE
10,0.004473664565011859,2025-12-08 09:52:37.009834,2025-12-08 09:59:51.212002,0 days 00:07:14.202168,0.2,16,0.00042261036379296377,COMPLETE
11,0.004506108642090112,2025-12-08 09:55:50.261876,2025-12-08 09:58:38.756291,0 days 00:02:48.494415,0.25,16,0.03915988962454001,COMPLETE
12,0.004482828080654144,2025-12-08 09:56:24.983432,2025-12-08 10:00:57.344772,0 days 00:04:32.361340,0.25,64,0.03562694240136851,COMPLETE
13,0.004513453342951834,2025-12-08 09:58:38.758477,2025-12-08 10:03:20.328408,0 days 00:04:41.569931,0.30000000000000004,192,0.09826795554337146,COMPLETE
14,0.004476936534047127,2025-12-08 09:59:48.362090,2025-12-08 10:03:14.137404,0 days 00:03:25.775314,0.30000000000000004,72,0.03882013312923078,COMPLETE
15,0.004485537821892649,2025-12-08 09:59:51.212649,2025-12-08 10:03:12.884899,0 days 00:03:21.672250,0.30000000000000004,80,0.03071023640248147,COMPLETE
16,0.004475669469684362,2025-12-08 10:00:57.345219,2025-12-08 10:03:42.628840,0 days 00:02:45.283621,0.30000000000000004,72,0.014810456320082127,COMPLETE
17,0.00450631434796378,2025-12-08 10:03:12.886076,2025-12-08 10:05:18.130465,0 days 00:02:05.244389,0.0,168,0.013908561058752182,COMPLETE
18,0.00522852037101984,2025-12-08 10:03:14.138068,2025-12-08 10:09:36.225507,0 days 00:06:22.087439,0.5,88,0.00031636726957325555,COMPLETE
19,0.004472804139368236,2025-12-08 10:03:20.329053,2025-12-08 10:08:11.140720,0 days 00:04:50.811667,0.5,88,0.013982337407377705,COMPLETE
