number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_dim,params_learning_rate,params_num_heads,state
0,0.00266238278709352,2025-11-23 17:10:11.901145,2025-11-23 17:52:24.882234,0 days 00:42:12.981089,128,0.4,56,0.0024810409748678114,8,COMPLETE
1,0.0034156835451722143,2025-11-23 17:52:24.884665,2025-11-23 17:57:56.561275,0 days 00:05:31.676610,16,0.0,88,0.07579479953348005,6,COMPLETE
2,0.0030542817804962395,2025-11-23 17:57:56.563540,2025-11-23 18:08:39.422366,0 days 00:10:42.858826,16,0.2,48,0.0001461896279370495,6,COMPLETE
3,0.0031129860186151098,2025-11-23 18:08:39.424513,2025-11-23 18:18:21.823811,0 days 00:09:42.399298,64,0.1,64,0.0011400863701127321,8,COMPLETE
4,0.003195784819711532,2025-11-23 18:18:21.826227,2025-11-23 18:25:29.308337,0 days 00:07:07.482110,64,0.5,16,0.01712337597316398,8,COMPLETE
5,0.0029342351123117483,2025-11-23 18:25:29.310644,2025-11-23 18:30:33.013018,0 days 00:05:03.702374,32,0.0,24,0.0433792069749094,4,COMPLETE
6,0.0027533325902186333,2025-11-23 18:30:33.015222,2025-11-23 18:37:28.155621,0 days 00:06:55.140399,16,0.5,80,0.012604664585649461,2,COMPLETE
7,0.003071063896641135,2025-11-23 18:37:28.157870,2025-11-23 18:46:24.502909,0 days 00:08:56.345039,64,0.0,24,0.0002001342062287998,2,COMPLETE
8,0.002782604925764295,2025-11-23 18:46:24.504973,2025-11-23 18:56:27.247764,0 days 00:10:02.742791,32,0.05,48,0.016172900811143146,6,COMPLETE
9,0.0030652087461203337,2025-11-23 18:56:27.250065,2025-11-23 19:06:00.475358,0 days 00:09:33.225293,16,0.35000000000000003,16,0.00824192526487645,8,COMPLETE
10,0.24282227456569672,2025-11-23 19:06:00.477714,2025-11-23 19:06:11.362796,0 days 00:00:10.885082,128,0.35000000000000003,128,1.1799062523159298e-05,4,PRUNED
11,0.023235196247696877,2025-11-23 19:06:11.364770,2025-11-23 19:06:22.751049,0 days 00:00:11.386279,128,0.5,96,0.00247659014184304,2,PRUNED
12,0.031238260213285685,2025-11-23 19:06:22.753190,2025-11-23 19:06:34.465247,0 days 00:00:11.712057,128,0.4,80,0.00368938889049975,4,PRUNED
13,0.02174155306071043,2025-11-23 19:06:34.467426,2025-11-23 19:06:46.887694,0 days 00:00:12.420268,16,0.4,112,0.00035871355208889384,2,PRUNED
14,0.02212408697232604,2025-11-23 19:06:46.889735,2025-11-23 19:06:58.360247,0 days 00:00:11.470512,128,0.25,64,0.0009641958295232142,4,PRUNED
