number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_dim,params_learning_rate,state
0,0.003108785841614008,2025-11-22 22:14:45.186191,2025-11-22 22:52:12.047496,0 days 00:37:26.861305,16,0.5,104,0.008471801418819975,COMPLETE
1,0.0031664290357954227,2025-11-22 22:52:12.050086,2025-11-22 23:01:22.717708,0 days 00:09:10.667622,32,0.30000000000000004,224,0.006796578090758156,COMPLETE
2,0.09771811962127686,2025-11-22 23:01:22.719958,2025-11-22 23:10:38.070142,0 days 00:09:15.350184,128,0.1,56,0.00016480446427978953,COMPLETE
3,0.003149425252698935,2025-11-22 23:10:38.072502,2025-11-22 23:20:10.269343,0 days 00:09:32.196841,32,0.15000000000000002,48,0.0002920433847181409,COMPLETE
4,0.00291044675395824,2025-11-22 23:20:10.271559,2025-11-22 23:29:27.012636,0 days 00:09:16.741077,128,0.0,160,0.0026926469100861782,COMPLETE
5,0.07482130885124207,2025-11-22 23:29:27.015071,2025-11-22 23:39:18.008849,0 days 00:09:50.993778,16,0.15000000000000002,216,2.458603276328006e-05,COMPLETE
6,0.0032476035109721122,2025-11-22 23:39:18.011151,2025-11-22 23:49:10.123493,0 days 00:09:52.112342,16,0.5,24,0.00010842262717330161,COMPLETE
7,0.0030746694141998887,2025-11-22 23:49:10.125589,2025-11-22 23:53:41.246192,0 days 00:04:31.120603,16,0.5,56,0.012604664585649461,COMPLETE
8,0.2311190962791443,2025-11-22 23:53:41.248496,2025-11-23 00:02:57.100902,0 days 00:09:15.852406,128,0.1,32,1.5167330688076188e-05,COMPLETE
9,0.0029451469890773296,2025-11-23 00:02:57.103322,2025-11-23 00:12:08.654587,0 days 00:09:11.551265,128,0.15000000000000002,104,0.0014817820606039085,COMPLETE
10,0.003150132759141603,2025-11-23 00:12:08.656788,2025-11-23 00:19:46.421662,0 days 00:07:37.764874,64,0.0,168,0.07553503645583189,COMPLETE
11,0.188374862074852,2025-11-23 00:19:46.423956,2025-11-23 00:20:09.003328,0 days 00:00:22.579372,128,0.0,128,0.0015455082385721084,PRUNED
12,0.13288944587111473,2025-11-23 00:20:09.006052,2025-11-23 00:20:54.137439,0 days 00:00:45.131387,128,0.30000000000000004,168,0.001459078395938293,PRUNED
13,0.23462646082043648,2025-11-23 00:20:54.139623,2025-11-23 00:21:05.311337,0 days 00:00:11.171714,128,0.2,104,0.0006902004408879345,PRUNED
14,0.002849981812427619,2025-11-23 00:21:05.313593,2025-11-23 00:28:43.669195,0 days 00:07:38.355602,64,0.05,168,0.003610725050368147,COMPLETE
