number,value,datetime_start,datetime_complete,duration,params_dropout,params_hidden_dim,params_learning_rate,state
0,0.16291851177811623,2026-01-05 02:46:24.794552,2026-01-05 02:54:04.129624,0 days 00:07:39.335072,0.05,160,4.207053950287933e-05,COMPLETE
1,0.005201918655075133,2026-01-05 02:46:24.829630,2026-01-05 02:52:03.654099,0 days 00:05:38.824469,0.5,104,0.008471801418819975,COMPLETE
2,0.0051998336566612124,2026-01-05 02:46:24.836191,2026-01-05 02:49:46.151319,0 days 00:03:21.315128,0.45,24,0.002537815508265664,COMPLETE
3,0.005199639475904405,2026-01-05 02:46:24.838480,2026-01-05 02:49:12.771639,0 days 00:02:47.933159,0.0,184,0.07579479953348005,COMPLETE
4,0.1432873010635376,2026-01-05 02:49:12.772296,2026-01-05 02:56:43.365661,0 days 00:07:30.593365,0.1,216,5.3370327626039544e-05,COMPLETE
5,0.005199530511163175,2026-01-05 02:49:46.151938,2026-01-05 02:54:42.226142,0 days 00:04:56.074204,0.15000000000000002,56,0.0012561043700013551,COMPLETE
6,0.005200062412768602,2026-01-05 02:52:03.654598,2026-01-05 02:55:19.149338,0 days 00:03:15.494740,0.15000000000000002,120,0.0028016351587162596,COMPLETE
7,0.006727871252223849,2026-01-05 02:54:04.130420,2026-01-05 03:01:25.941938,0 days 00:07:21.811518,0.15000000000000002,48,0.0002920433847181409,COMPLETE
8,0.09992487542331219,2026-01-05 02:54:42.226955,2026-01-05 03:02:07.226379,0 days 00:07:24.999424,0.2,32,8.31923670199065e-05,COMPLETE
9,0.15772562474012375,2026-01-05 02:55:19.150414,2026-01-05 03:02:41.743385,0 days 00:07:22.592971,0.30000000000000004,16,4.49588024022626e-05,COMPLETE
10,0.0074638641672208905,2026-01-05 02:56:43.366302,2026-01-05 03:04:01.513112,0 days 00:07:18.146810,0.30000000000000004,16,0.0002775229437329258,COMPLETE
11,0.005230387090705335,2026-01-05 03:01:25.942828,2026-01-05 03:08:39.287088,0 days 00:07:13.344260,0.30000000000000004,72,0.00040006548209714927,COMPLETE
12,0.005199526669457555,2026-01-05 03:02:07.227196,2026-01-05 03:07:00.818222,0 days 00:04:53.591026,0.30000000000000004,80,0.03562694240136851,COMPLETE
13,0.005199597915634513,2026-01-05 03:02:41.744650,2026-01-05 03:05:54.200083,0 days 00:03:12.455433,0.30000000000000004,88,0.024936419312537237,COMPLETE
14,0.005199533654376864,2026-01-05 03:04:01.514078,2026-01-05 03:06:26.806867,0 days 00:02:25.292789,0.0,208,0.07693583308628062,COMPLETE
15,0.005199532606638968,2026-01-05 03:05:54.200641,2026-01-05 03:09:14.484387,0 days 00:03:20.283746,0.35000000000000003,80,0.04192412600281408,COMPLETE
16,0.005199550301767886,2026-01-05 03:06:26.807494,2026-01-05 03:11:50.740171,0 days 00:05:23.932677,0.0,256,0.08399700007125967,COMPLETE
17,0.22687974199652672,2026-01-05 03:07:00.818850,2026-01-05 03:13:52.577499,0 days 00:06:51.758649,0.4,72,1.1004229867825033e-05,COMPLETE
18,0.22309977188706398,2026-01-05 03:08:39.287716,2026-01-05 03:15:04.684235,0 days 00:06:25.396519,0.4,256,1.2653130267405902e-05,COMPLETE
19,0.005199703038670123,2026-01-05 03:09:14.485797,2026-01-05 03:11:27.267949,0 days 00:02:12.782152,0.4,248,0.015353417871934397,COMPLETE
