number,value,datetime_start,datetime_complete,duration,params_dropout,params_hidden_dim,params_learning_rate,state
0,0.004485898884013295,2025-12-01 19:45:46.582641,2025-12-01 20:09:13.548374,0 days 00:23:26.965733,0.5,104,0.008471801418819975,COMPLETE
1,0.14749761298298836,2025-12-01 19:45:46.583295,2025-12-01 20:16:34.854186,0 days 00:30:48.270891,0.05,160,4.207053950287933e-05,COMPLETE
2,0.0044965177658014,2025-12-01 19:45:46.583595,2025-12-01 20:00:24.196465,0 days 00:14:37.612870,0.45,24,0.002537815508265664,COMPLETE
3,0.004493140149861574,2025-12-01 19:45:46.583841,2025-12-01 19:57:31.439755,0 days 00:11:44.855914,0.0,184,0.07579479953348005,COMPLETE
4,0.12916051782667637,2025-12-01 19:45:46.584078,2025-12-01 20:28:20.586482,0 days 00:42:34.002404,0.1,216,5.3370327626039544e-05,COMPLETE
5,0.004525593365542591,2025-12-01 19:45:46.584310,2025-12-01 20:21:01.157445,0 days 00:35:14.573135,0.15000000000000002,56,0.0012561043700013551,COMPLETE
6,0.004568394331727177,2025-12-01 19:45:46.584555,2025-12-01 20:23:24.686253,0 days 00:37:38.101698,0.15000000000000002,120,0.0028016351587162596,COMPLETE
7,0.006002382840961218,2025-12-01 19:45:46.584788,2025-12-01 20:47:36.793932,0 days 01:01:50.209144,0.15000000000000002,48,0.0002920433847181409,COMPLETE
8,0.11774933710694313,2025-12-01 19:45:46.585015,2025-12-01 20:52:02.091621,0 days 01:06:15.506606,0.4,128,6.290644294586152e-05,COMPLETE
9,0.19634468480944633,2025-12-01 19:45:46.585253,2025-12-01 20:54:10.041982,0 days 01:08:23.456729,0.30000000000000004,136,1.5339162591163613e-05,COMPLETE
10,0.19139878451824188,2025-12-01 19:45:46.585482,2025-12-01 20:59:28.802971,0 days 01:13:42.217489,0.05,160,1.8205657658407255e-05,COMPLETE
11,0.0044726726482622325,2025-12-01 19:45:46.585708,2025-12-01 21:07:14.934131,0 days 01:21:28.348423,0.5,248,0.01712337597316398,COMPLETE
12,0.004541385162156075,2025-12-01 19:45:46.585943,2025-12-01 21:06:09.972948,0 days 01:20:23.387005,0.05,88,0.005456725485601475,COMPLETE
13,0.004556654661428183,2025-12-01 19:45:46.586168,2025-12-01 21:17:10.681126,0 days 01:31:24.094958,0.05,120,0.0009565499215943821,COMPLETE
14,0.06599001307040453,2025-12-01 19:45:46.586392,2025-12-01 21:30:07.510083,0 days 01:44:20.923691,0.5,24,0.00010842262717330161,COMPLETE
15,0.004558154323603958,2025-12-01 19:45:46.586630,2025-12-01 21:25:56.760829,0 days 01:40:10.174199,0.15000000000000002,176,0.0012030178871154666,COMPLETE
16,0.0044789527310058475,2025-12-01 19:45:46.586855,2025-12-01 21:30:22.768684,0 days 01:44:36.181829,0.1,144,0.07556810141274425,COMPLETE
17,0.004505665099713951,2025-12-01 19:45:46.587080,2025-12-01 21:30:27.653689,0 days 01:44:41.066609,0.5,208,0.03795853142670639,COMPLETE
18,0.18343741446733475,2025-12-01 19:45:46.587305,2025-12-01 21:54:46.107969,0 days 02:08:59.520664,0.5,160,2.259279742015695e-05,COMPLETE
19,0.01738475216552615,2025-12-01 19:45:46.587535,2025-12-01 21:58:57.514292,0 days 02:13:10.926757,0.0,64,0.0002001342062287998,COMPLETE
